h,b_pos,se_pos,b_neg,se_neg,p_sign_sym,n,b_size,p_size
0,0.0017423048379841943,0.030833872949888354,0.04793837157097315,0.031590742456724386,0.3310009657627834,508,0.0020141732437011506,0.8810752507791902
1,-0.01727625317753948,0.05715835748619196,0.03518668755620697,0.04925281969051046,0.5316616272965319,508,0.03853981005003442,0.1382889686516299
2,-0.011762427079220969,0.0703603852370069,0.040344425387340004,0.07219337059189194,0.6561105437541475,508,0.06877791757316687,0.05991379645765704
3,0.01191815972939169,0.07373873280414298,-0.0009750364732857147,0.0868791999116169,0.9225336264859534,508,0.08634202647496021,0.03148446941618745
4,0.037878449686894994,0.07792293241386268,0.0067066900739020455,0.09059221239197618,0.8206764635291498,508,0.07868483610704734,0.04240493729826024
5,0.017061289275627514,0.09058092328520742,-0.017090681506059316,0.10159882406776702,0.8263465865490752,507,0.09898952284336314,0.04347464736709401
6,0.02419091477457125,0.10301366932672747,-0.025166585828218624,0.11907854725897427,0.7856291042589063,506,0.11957699582446105,0.043893022247877084
7,-0.025169636191360548,0.11726996298220937,0.02038277185891159,0.13124755209679043,0.8238670744633145,505,0.13124114890402694,0.05878101415323195
8,-0.05170814546907762,0.13186619887981965,0.016944534324225463,0.13001796318099948,0.753371140773786,504,0.1459860576382188,0.033201468517746587
9,-0.041656499557308685,0.14424530988568793,0.04439885925340781,0.13572764482488123,0.7105206372667585,503,0.14171514329875298,0.05159463971102796
10,-0.031107884796780033,0.15991388758403438,0.08299007582061077,0.14619549671376916,0.6533394936522186,502,0.11731927317336126,0.14678018348684987
11,-0.0008563730100050182,0.1678042079369845,0.06704179695241697,0.1520815906074937,0.797985208914938,501,0.11938239848105295,0.1356273243021953
12,0.033768373438700844,0.18857139951771124,0.1283460596982428,0.16367379750310254,0.7416572232915821,500,0.09449151175432154,0.26060885665658473
13,0.030319091146867205,0.19937879790701296,0.08477075692398675,0.1687538191673339,0.8542703110748374,499,0.1177099315943632,0.16329424400872805
14,0.012775798155576723,0.2087384498655487,0.052378315199111514,0.17659923010559891,0.8943010214166274,498,0.13140617218041162,0.13288337127242167
15,-0.00031014173169174875,0.23137504978431533,0.07120790379679759,0.1822750558036958,0.817117219708857,497,0.1412002288075057,0.12724225223257346
16,-0.015106066038105076,0.2438151476776124,0.09093282441810568,0.1918939693235181,0.7401085902225666,496,0.14351537131400904,0.11820253690033782
17,-0.027177482784107754,0.24536261405335985,0.12330026163579982,0.2032095458578651,0.6519307926691167,495,0.14735352427832865,0.1291321430949612
18,-0.06899459945833494,0.2482067507052719,0.11475215417453494,0.21106494960624197,0.5984818900366726,494,0.17288154708312176,0.08568254914653319
19,-0.06147501632868127,0.2617232641467897,0.08416060024584854,0.2165006351441356,0.6900139837151116,493,0.17880340280154416,0.07465825090829467
20,-0.06751588901110289,0.277616927593512,0.0067205151601119895,0.21049767156263383,0.8425242637670114,492,0.20468380615831433,0.03829825362778124
21,-0.041411382620379966,0.2910958928854322,0.04524787509946443,0.2164352171526857,0.8230677688063723,491,0.19550087185525078,0.055758318296335194
22,-0.04675234692691577,0.3025407167244271,0.04597672759847682,0.22195638403077297,0.8162641034030135,490,0.20940803982136025,0.05242271470408067
23,-0.06351150014852525,0.30327125597836047,-0.00440556105401313,0.23314525359745164,0.8833363229665769,489,0.238461189175875,0.03882875955820398
24,-0.05398920623575265,0.30487195879393153,-0.03755633337578235,0.23540543281086465,0.9676419397368076,488,0.25361690213569604,0.03141022900892941
