h,b0,se0,b1,se1,p_b1,n,b2,se2,p_b2,p_joint,beta_at_-1.50,se_at_-1.50,beta_at_-1.25,se_at_-1.25,beta_at_-1.00,se_at_-1.00,beta_at_-0.75,se_at_-0.75,beta_at_-0.50,se_at_-0.50,beta_at_-0.25,se_at_-0.25,beta_at_+0.00,se_at_+0.00,beta_at_+0.25,se_at_+0.25,beta_at_+0.50,se_at_+0.50,beta_at_+0.75,se_at_+0.75,beta_at_+1.00,se_at_+1.00,beta_at_+1.25,se_at_+1.25,beta_at_+1.50,se_at_+1.50,beta_at_+1.75,se_at_+1.75,beta_at_+2.00,se_at_+2.00
0,0.03736919426813406,0.017874848164524962,0.0358831650429901,0.014444608988362573,0.012984620849289145,507,-0.005923048604256425,0.00923256276490224,0.521172584439271,0.04118428106772019,-0.029782412655928042,0.02941430868031072,-0.01673952547975423,0.022907735191374425,-0.004437019379112466,0.018391124108478967,0.007125105645997247,0.016094480151512183,0.017946849595574903,0.015766278285521042,0.028028212469620506,0.01662134465959235,0.03736919426813406,0.017874848164524962,0.04596979499111556,0.019070587316488644,0.053830014638564995,0.02005442976814406,0.060949853210482394,0.020889226151986788,0.06732931070686773,0.021807990109522803,0.07296838712772102,0.02317800030150779,0.07786708247304225,0.025428298998757738,0.08202539674283144,0.02893199964461131,0.08544332993708856,0.03391067241131156
1,0.06495725929663002,0.02906188813443761,0.07524748239694767,0.03222148675574439,0.019526710218859558,507,-0.005354984755841444,0.011215668337705648,0.6330376604382721,0.018056253569140583,-0.05996267999943475,0.05762716633217283,-0.037469257380556835,0.04524428231701601,-0.015645207856159103,0.03520789690072126,0.005509468573758448,0.028253141118126476,0.02599477190919582,0.025188625681210823,0.04581070215015301,0.025914463479260574,0.06495725929663002,0.02906188813443761,0.08343444334862685,0.03317283921468035,0.10124225430614349,0.037386531359686455,0.11838069216917996,0.041315786521835776,0.13484975693773624,0.04483758615109421,0.15064944861181234,0.04797955611837702,0.16577976719140827,0.05086957335394608,0.18024071267652403,0.05371277668287916,0.19403228506715958,0.056775906620661336
2,0.12737518372615403,0.04503787500329984,0.10182203335544832,0.04756401981422344,0.032295293214516324,507,-0.020357690765005727,0.016399109238029716,0.21446169915368796,0.09785824323048857,-0.07116267052828133,0.07197914177816829,-0.0317112497884778,0.05374865778034765,0.005195459605699986,0.039496807066937846,0.03955745765425207,0.03135206427672594,0.07137474435717844,0.031172253517603363,0.10064731971447909,0.036951469155031696,0.12737518372615403,0.04503787500329984,0.15155833639220323,0.053387940464043014,0.17319677771262676,0.0612027352458064,0.19229050768742456,0.06822688628273603,0.2088395263165966,0.0744504806033998,0.22284383360014295,0.08000054660779946,0.2343034295380636,0.08510096923352957,0.24321831413035855,0.09005540300346894,0.24958848737702777,0.09523413612063071
3,0.12444931925903728,0.052914838264475725,0.12086885111762345,0.05476279904045644,0.027304679387604218,507,-0.01014288217976549,0.018491956651709076,0.583346997533438,0.03597587734626247,-0.07967544232187024,0.07965790175258372,-0.0424849980438756,0.05867994101317045,-0.006562414038351661,0.042427053606571674,0.028092309694701608,0.03377522382733172,0.061479173155284186,0.03496787601140757,0.09359817634339607,0.042841066983792926,0.12444931925903728,0.052914838264475725,0.1540326019022078,0.06300857101993865,0.18234802427290764,0.07232684984330395,0.20939558637113678,0.08062775054712187,0.23517528819689523,0.08791299907388224,0.259687129750183,0.09432098138364405,0.2829311110310001,0.10008915599508776,0.3049072320393465,0.10553993048018964,0.3256154927752222,0.11107126347498836
4,0.12400395633692368,0.046192941069272284,0.10584440948282292,0.04607060582140386,0.021593735520683378,507,-0.0036446073338717057,0.015257831733931663,0.8112079608329746,0.007300267371478596,-0.042963024388522036,0.07187603660582755,-0.01399625447577951,0.05479398459780743,0.014514939520229055,0.041715499029370814,0.04257055759950366,0.03441698629438905,0.07017059976204429,0.03409108556473772,0.09731506600785098,0.03901039104344568,0.12400395633692368,0.046192941069272284,0.15023727074926244,0.05376236797865345,0.1760150092448672,0.06087452235024421,0.20133717182373803,0.0671985294823677,0.2262037584858749,0.07264936890432737,0.2506147692312778,0.07727956929247987,0.2745702040599467,0.08123810453187681,0.2980700629718817,0.08475631840592426,0.3211143459670827,0.08814294029149473
5,0.11150119459003187,0.045811285232298535,0.08180233638300757,0.04582185091744951,0.0742247485383693,506,0.008354350857317734,0.017994321390854693,0.642449248305399,0.02291627198435334,0.0075949794444854085,0.07682688305390874,0.022301947325831354,0.05897932214514887,0.03805320906434203,0.04532449842605309,0.05484876466001741,0.03733819566624703,0.07268861411285751,0.03595733746743962,0.09157275742286235,0.039697750120539825,0.11150119459003187,0.045811285232298535,0.1324739256143661,0.05241338267884254,0.1544909504958651,0.058631721670494,0.17755226923452877,0.06416290932288564,0.20165788183035716,0.06900562102660283,0.2268077882833503,0.07334669477536819,0.25300198859350814,0.07751444330613266,0.2802404827608307,0.0819518743862605,0.30852327078531794,0.08718392040773323
6,0.1323819935558525,0.048644196724188515,0.08745775063282818,0.04818686567875255,0.06952840818555671,506,0.010262258115362771,0.019898170147623483,0.6060368613899607,0.031009438545612156,0.024285448366176472,0.0847055300989118,0.03909458357007161,0.06605317314545642,0.0551865010383871,0.05175896196204861,0.07256120077112294,0.04303807349030872,0.0912186827682791,0.0406120823138907,0.11115894702985564,0.04328704543031802,0.1323819935558525,0.048644196724188515,0.15488782234626974,0.05481450489741436,0.17867643340110728,0.060859047212374236,0.20374782672036518,0.06645221693335016,0.23010200230404346,0.07162421238429413,0.2577389601521421,0.0766323173338785,0.28665870026466106,0.08189484395140847,0.31686122264160027,0.08793931246628403,0.34834652728295995,0.09534063909773968
7,0.14938915907850334,0.059672179918617445,0.10818061144698736,0.06181689022836685,0.08011537291697969,505,0.009879041806901148,0.025660507328144788,0.7002447352037473,0.045932622901783356,0.009346085973549887,0.110740705067399,0.029599397593052176,0.08606223265340687,0.051087589438417125,0.0667500173837724,0.07381066150964471,0.05437314497387654,0.09776861380673493,0.050173949712334,0.12296144632968782,0.05299386497412045,0.14938915907850334,0.059672179918617445,0.1770517520531815,0.06758676407838515,0.2059492252537223,0.07539875877733104,0.23608157868012575,0.08263488674643187,0.2674488123323918,0.08931464334545339,0.3000509262105206,0.09576495402075036,0.333887920314512,0.10252769656273114,0.36895979464436596,0.11028954652537344,0.40526654920008265,0.11979939838413241
8,0.15527422725003662,0.061329704487725324,0.12412569881735808,0.06800696321641062,0.06797220789321659,504,0.008784969876093666,0.026070574870049854,0.7361404331217614,0.0244743949620144,-0.011148138754789746,0.12011436668352045,0.01384361915973539,0.09284560776033428,0.03993349830877221,0.07094578188814177,0.06712149869232074,0.0562351231670404,0.095407620310381,0.050667726032780636,0.12479186316295295,0.053583279944348174,0.15527422725003662,0.061329704487725324,0.186854712571632,0.07062950912899409,0.21953331912773907,0.0797952814418723,0.25331004691835785,0.08818086324588577,0.2881848959434884,0.0956882126227381,0.3241578662031306,0.10253822703845684,0.36122895769728447,0.10917343521831649,0.3993981704259501,0.11620507226761412,0.43866550438912744,0.12435947507104879
9,0.1697026900150999,0.06394670595041152,0.13066292799016704,0.07070316268976745,0.06459521599701715,503,0.009343277996825237,0.02650112924701923,0.7244172015820372,0.014186874076385093,-0.005269326477293869,0.12183188506364771,0.020972901897430556,0.09333777092132525,0.048383040021758104,0.07049483270616716,0.07696108789568883,0.05546633374263605,0.10670704551922269,0.05059169238546927,0.13762091289235975,0.05487239835921827,0.1697026900150999,0.06394670595041152,0.20295237688744325,0.0742849171830805,0.23736997350938974,0.08419115802178295,0.2729554798809394,0.09303062444872152,0.30970889600209217,0.10069527216919903,0.34763022187284814,0.10737860969888634,0.38671945749320724,0.11348971345845296,0.4269766028631695,0.11961588995821296,0.4684016579827349,0.1264884229939261
