h,b_pos,se_pos,b_neg,se_neg,p_sign_sym,n,b_size,p_size,b_state,p_state
0,-0.006734649066092986,0.030035478176038445,0.045113619239483344,0.029382993545678516,0.24161440919544253,507,0.007692682244882282,0.5776253907071538,0.026737752305484433,0.07687924994949587
1,-0.0363059544045748,0.05366817413557147,0.022479880802244424,0.04341758831064253,0.3944541212924253,507,0.05394824251513777,0.050975523287181024,0.06931596727679755,0.005037767588413237
2,-0.032124065261136224,0.0665778811593635,0.035705150066129177,0.057544377424232344,0.46511682616155214,507,0.0829210952586986,0.03594143675513364,0.07731845527837827,0.06139291998701331
3,-0.016157982683092056,0.06366714935480391,-0.01223665791466233,0.06929634660960983,0.9684423890642023,507,0.1077091008336476,0.009065061177010203,0.11176675356667914,0.012020098085619026
4,0.008969963876545625,0.06596991769636341,0.007716343202639697,0.07574752177812426,0.9904787138503397,507,0.09601274873438544,0.011726361408904111,0.10358994799380929,0.0030515001447086183
5,-0.010778440426136002,0.07623007267927735,-0.002894668999327582,0.08806070064913943,0.9471664300926139,506,0.11150921527526686,0.01824499750492162,0.09607857824106338,0.005264296086836269
6,-0.011868552719457179,0.08640679046599309,-0.011966658133917063,0.10401010583783492,0.9994304790652471,506,0.13574827318784433,0.01742355366874451,0.1064161691748956,0.004317229075369472
7,-0.0676337754271,0.09594756975098899,0.032320386853464944,0.11205649475489574,0.5129150616598059,505,0.15145770768736286,0.02290663859472475,0.12718283061708657,0.005591012062008737
8,-0.09939975988004543,0.10330046086607167,0.030842417818022244,0.10823759139797237,0.3978996311149985,504,0.16849521975446446,0.009747675407732083,0.1422040582808942,0.003626342545602289
9,-0.09285393072637219,0.11369539716591043,0.06439476394674606,0.11353436140851718,0.33126873359381614,503,0.16397594027150736,0.018376035140674984,0.1481266349999107,0.0034935693847581236
10,-0.08847460005470278,0.12650501988279095,0.10165074125217541,0.11839646445064216,0.26711111885965055,502,0.14385241702981894,0.06321644689210376,0.17151854854288123,0.003151366089118456
11,-0.06416492906929938,0.13145955162569328,0.08438184951756147,0.12123437724467068,0.40768781721892255,501,0.1497462848293838,0.04844181343582285,0.1912498650319457,0.0020808576903261207
12,-0.03451284580633365,0.1447983347919323,0.14856822794826222,0.13075053148747875,0.3433593404283738,500,0.12663845041352134,0.1108063876986759,0.20453270911041196,0.0036445947675561117
13,-0.03897194592088121,0.15366610912930456,0.11647929177088581,0.14161447282602943,0.44090923850423414,499,0.14617621697544514,0.06482189402135909,0.19772870581970195,0.002893952533480215
14,-0.05520820892176015,0.15786512780884018,0.09977267282832164,0.15392348141011836,0.44592401278412863,498,0.1530332487868829,0.0625454159692647,0.17603681571785773,0.005545203725302659
15,-0.06929250502358603,0.17215729988941142,0.1261168553572332,0.16265491115240668,0.3632774378680026,497,0.16051588793505683,0.06261438463850541,0.1711857352036692,0.00578401887641323
16,-0.09003575561365126,0.1785825398539643,0.14016032092538538,0.16695923431877346,0.28946438363401583,496,0.16836196290179967,0.04550502970694913,0.19546941398060494,0.0019947627626635983
17,-0.10703969038943001,0.18336487285867056,0.1692004673033719,0.17247715167516217,0.22117257041921967,495,0.17637500325003622,0.05635383615692418,0.2151439919221147,0.0020650289399826325
18,-0.1547279431966676,0.1904797489327694,0.15768235459552177,0.1799719816823046,0.18591787411024607,494,0.20633022797311795,0.038251011452992374,0.23617923732801133,0.0036814117641188445
19,-0.14935167744614525,0.19905858322332404,0.1343485025620592,0.18763204040427045,0.257288223543372,493,0.21079729674258593,0.037124154713592455,0.23665698128605733,0.007088169545343239
20,-0.1569008078759817,0.2093902415337451,0.06831838025481962,0.18750832437737017,0.37035728908373866,492,0.23320494674711395,0.020635789462376243,0.23040083558417257,0.01075925619112738
21,-0.13239995702635005,0.2180771356768716,0.11889889103216839,0.1898219727565484,0.3252013189123061,491,0.22132944500261445,0.03210274776091914,0.23197997840487883,0.013079620483923957
22,-0.1447498709746079,0.22553171117302764,0.11676972078053205,0.19609948160232815,0.3108229313618335,490,0.24035334416354073,0.029183867193878398,0.2571133522947924,0.007071805813622338
23,-0.1630238179629921,0.22179355486348315,0.0742906505237727,0.2045055333608407,0.3423984522030187,489,0.26789207812318766,0.02086019603397192,0.26092481161787756,0.005321563935344674
24,-0.15126208603665403,0.21669997850956713,0.06010056334561387,0.21046057405117227,0.4011357106565394,488,0.2787181188723179,0.016267755530822978,0.26857395099889625,0.0039012083689643757
