h,beta,se,n
0,-0.0016957181042736354,0.02908929157357181,507
1,0.00624337477466029,0.04543959028094112,507
2,0.035059430694401435,0.05508659404933737,507
3,0.07041738485326725,0.0602455650994525,507
4,0.0859023029456224,0.06484644809637635,507
5,0.08002182198904696,0.07703369122943718,506
6,0.09930776955177227,0.08752482101874141,506
7,0.055881412671520386,0.09780450310992268,505
8,0.03804017818936481,0.10613585535303627,504
9,0.04018722826936455,0.11468965889806655,503
10,0.025676890378451972,0.12587054988368773,502
11,0.0538781966236159,0.13516833144624968,501
12,0.06265583531198127,0.15110900620664963,500
13,0.0755775860376931,0.16069318209304714,499
14,0.06657339977662716,0.16070803017391103,498
15,0.059314917825914026,0.16694879462950277,497
16,0.04388857422165196,0.17546613426572652,496
17,0.032576645442265656,0.17933974365046007,495
18,0.009392008741168634,0.18561786935396005,494
19,0.01854913517140533,0.19455181551447337,493
20,0.03059729276955342,0.2073928171629478,492
21,0.044666993576577496,0.21337667860976872,491
22,0.04731951035852522,0.22415373620631399,490
23,0.05265093261016213,0.2221386226659403,489
24,0.07297498801684332,0.22257294922818086,488
