h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.10528896965306295,0.06379347886994424,-0.07669415907938489,0.04576418873495496,0.18198312873244782,0.0570923450659542,507
1,0.22478262451239392,0.08433885947423618,-0.13978274570487836,0.06847288539572707,0.3645653702172723,0.005928553858648044,507
2,0.2572963241227122,0.11501349650137509,-0.10854589802992325,0.0817795504672255,0.36584222215263545,0.034230832205991865,507
3,0.31875849732016975,0.12753751655177545,-0.11414080383264844,0.09244736812424242,0.43289930115281816,0.026191611343107622,507
4,0.25800945415512033,0.15066957926796953,-0.05963782479076457,0.11575902879068996,0.3176472789458849,0.18212710518982778,507
5,0.2702005205278788,0.1581658538248799,-0.08820350538009364,0.12335987621471593,0.35840402590797243,0.14034060986770888,506
6,0.3594967223572483,0.17397466096804845,-0.12829950877145924,0.14894960669921978,0.4877962311287075,0.08315731395553615,506
7,0.3837551156706831,0.1891321484151959,-0.23115822524152949,0.15599571650131006,0.6149133409122126,0.04151550438498088,505
8,0.4418356514339561,0.1932084160653087,-0.31714392243221035,0.16912477457577696,0.7589795738661664,0.018005818293338863,504
9,0.5006727997541598,0.2024084443703651,-0.3545040726857668,0.18209240066693108,0.8551768724399266,0.012072423741167541,503
10,0.5336304577033786,0.21435628441900656,-0.4176693222644865,0.20084572614007168,0.9512997799678651,0.009948218632343905,502
11,0.5894660942312324,0.24917363998437023,-0.4249539489309368,0.22336117212702347,1.0144200431621693,0.016867591679624813,501
12,0.6123085675999691,0.2925250195264303,-0.4589705376624773,0.2555564911202599,1.0712791052624464,0.030298333578490697,500
13,0.5809893876714316,0.3255849283086801,-0.442937170605548,0.28060637575666914,1.0239265582769796,0.062069246727986284,499
14,0.5254861416678853,0.33849556856828966,-0.4138469598180513,0.3007202334371042,0.9393331014859366,0.10697873833874957,498
15,0.5482060847456158,0.3373544715886908,-0.4542814716904764,0.3139720126503764,1.0024875564360922,0.09113030453661072,497
16,0.6423090330827983,0.3429362628932723,-0.5730590280502617,0.3183461373685673,1.21536806113306,0.04302822112867074,496
17,0.6375540198500409,0.34035941600505,-0.6015800000511503,0.31650837605168586,1.2391340199011913,0.035926997766781855,495
18,0.6721986309136168,0.329784421506167,-0.6857420910855165,0.31692052661372794,1.3579407219991333,0.017883462349272742,494
19,0.7309358878989878,0.3296262451722242,-0.724138307513696,0.34043669137927746,1.4550741954126838,0.014628895505318188,493
20,0.8768355625974344,0.3323497283331739,-0.8180648154684507,0.35341928961161007,1.6949003780658851,0.005163713918149257,492
21,0.9010738766476414,0.34195267983602534,-0.8303923569943281,0.3732029470419435,1.7314662336419695,0.006273288280043734,491
22,0.9318840553500394,0.3617029418028142,-0.8680584936761309,0.38554097381433877,1.7999425490261702,0.006055718159284565,490
23,0.9679201559440349,0.3702271946623053,-0.8985375571903796,0.3907853184493101,1.8664577131344147,0.005430823551496763,489
24,1.0856675290551823,0.37470837758906883,-0.9621394698626271,0.38643885642023995,2.0478069989178094,0.002085478298418334,488
