h,hot_full,hot_ex2122,slack
0,0.10528896965306295,0.14365318263021576,-0.07669415907938489
1,0.22478262451239392,0.20216989415246486,-0.13978274570487836
2,0.2572963241227122,0.27264784703205314,-0.10854589802992325
3,0.31875849732016975,0.27219159437168405,-0.11414080383264844
4,0.25800945415512033,0.20874926195347832,-0.05963782479076457
5,0.2702005205278788,0.1519364019355075,-0.08820350538009364
6,0.3594967223572483,0.22290290147862046,-0.12829950877145924
7,0.3837551156706831,0.19009404525855644,-0.23115822524152949
8,0.4418356514339561,0.19045438603729714,-0.31714392243221035
9,0.5006727997541598,0.23073718035378343,-0.3545040726857668
10,0.5336304577033786,0.3123382235219365,-0.4176693222644865
11,0.5894660942312324,0.39352738340469773,-0.4249539489309368
12,0.6123085675999691,0.5032399300027499,-0.4589705376624773
13,0.5809893876714316,0.4553421889115623,-0.442937170605548
14,0.5254861416678853,0.40647538417769113,-0.4138469598180513
15,0.5482060847456158,0.40696085806479365,-0.4542814716904764
16,0.6423090330827983,0.47114395292275724,-0.5730590280502617
17,0.6375540198500409,0.45112227911774205,-0.6015800000511503
18,0.6721986309136168,0.43349830870649075,-0.6857420910855165
19,0.7309358878989878,0.5406390802899208,-0.724138307513696
20,0.8768355625974344,0.6785500717130657,-0.8180648154684507
21,0.9010738766476414,0.7118932721728388,-0.8303923569943281
22,0.9318840553500394,0.6667433392329611,-0.8680584936761309
23,0.9679201559440349,0.6657182226349541,-0.8985375571903796
24,1.0856675290551823,0.7527641930355986,-0.9621394698626271
