h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.027513156570918698,0.08505607627489942,-0.008299851729543646,0.031925108717111655,0.03581300830046234,0.6930558674480087,507
1,0.10601712279444125,0.10387817928800133,-0.011955380019791403,0.045518691726669266,0.11797250281423266,0.28912823272263843,507
2,0.014856801037614442,0.13768296617302292,0.020250066222276382,0.05380821373732516,-0.00539326518466194,0.9699576628342924,507
3,0.02406748594040753,0.1401150510674888,0.04169810776838091,0.05536973156086194,-0.017630621827973383,0.9053476266100984,507
4,-0.10063476312954323,0.15209692267080122,0.05690295082735264,0.06313556052519212,-0.15753771395689586,0.33011182476073675,507
5,-0.015304623853562793,0.15110764903621238,0.037234796758915584,0.07517710323401158,-0.05253942061247838,0.7496298281482432,506
6,0.0998862725459837,0.1720453101943512,0.04836459074040417,0.08775575266223953,0.05152168180557953,0.78249712224067,506
7,0.16337626261124405,0.20714035337541117,-0.0030593593254167883,0.09560351894708273,0.16643562193666084,0.45587014940478643,505
8,0.17230178728195655,0.21994631822345762,-0.026302618573153275,0.09980713637712739,0.19860440585510983,0.39608512298046494,504
9,0.3422890501355007,0.25320050713189707,-0.027873134866372218,0.10723198396972977,0.3701621850018729,0.16379281973913618,503
10,0.3064273669210871,0.24559910028151366,-0.03567744425071051,0.12325313611616885,0.3421048111717976,0.19523937379078538,502
11,0.24718708670700984,0.2313849079362458,-0.003505309115172023,0.13572064996537245,0.25069239582218183,0.33451289133393725,501
12,0.1788496061669198,0.2698270513872912,0.0004414605145136863,0.15320121345360457,0.17840814565240612,0.5541528209681719,500
13,0.011667406671845626,0.3135822389577019,0.01939798614298721,0.16568930085549985,-0.007730579471141585,0.9824000484727847,499
14,-0.03455502029363089,0.2917551977359409,0.02672769527872726,0.16892140416842155,-0.06128271557235815,0.8553208446053014,498
15,0.06068585489855449,0.2813076704618333,0.01765827299276468,0.1765579727834197,0.04302758190578981,0.8969132469966259,497
16,0.18946996921310744,0.2879035883402944,-0.0024057846429827168,0.18916527165741787,0.19187575385609015,0.578833734124443,496
17,0.18611428433318444,0.2718674999973122,-0.008520569969586417,0.19570896408767946,0.19463485430277086,0.5636235011205167,495
18,0.29071342604370987,0.29481330841495973,-0.041121041357482624,0.20090293245422333,0.3318344674011925,0.35520500724261894,494
19,0.3373916086232165,0.32809806763329963,-0.03446941606621229,0.21240887336693645,0.3718610246894288,0.34856556125396243,493
20,0.553020029318434,0.3521396508849121,-0.04963925560033072,0.22339741823792156,0.6026592849187646,0.15321369540496127,492
21,0.46839300739044676,0.357999640334195,-0.04561075922591029,0.22988077771208362,0.514003766616357,0.2330002911881317,491
22,0.430340722008709,0.24379700527802572,-0.048898689786406546,0.240844870539945,0.47923941179511553,0.1730686857492031,490
23,0.29698064034798666,0.24883443887095832,-0.030950712689266136,0.24457946049690046,0.3279313530372528,0.359041390314905,489
24,0.5931296068838936,0.29795925592248745,-0.0223527625024858,0.2412715216949251,0.6154823693863793,0.11541249282562281,488
