h,beta,se,n
0,-0.001695718104273665,0.029089291573566392,507
1,0.006243374774660207,0.04543959028093341,507
2,0.03505943069440121,0.0550865940493316,507
3,0.07041738485326703,0.06024556509945942,507
4,0.08590230294562215,0.06484644809637016,507
5,0.08002182198904685,0.07703369122940895,506
6,0.09930776955177226,0.08752482101867066,506
7,0.05588141267152,0.09780450310982701,505
8,0.0380401781893662,0.10613585535296725,504
9,0.04018722826936577,0.1146896588979413,503
10,0.0256768903784505,0.12587054988344426,502
11,0.05387819662361518,0.13516833144596957,501
12,0.06265583531197891,0.1511090062061093,500
13,0.07557758603768944,0.1606931820925316,499
14,0.06657339977662527,0.1607080301733127,498
15,0.05931491782591536,0.1669487946287968,497
16,0.043888574221651266,0.17546613426482227,496
17,0.03257664544226799,0.1793397436495003,495
18,0.009392008741168634,0.18561786935298796,494
19,0.018549135171402553,0.19455181551344386,493
20,0.030597292769553974,0.20739281716171193,492
21,0.044666993576577496,0.2133766786085021,491
22,0.0473195103585235,0.22415373620492896,490
23,0.05265093261015008,0.222138622664474,489
24,0.07297498801684732,0.22257294922655643,488
