h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.10528896965306273,0.06379347886994868,-0.07669415907938522,0.0457641887349557,0.18198312873244793,0.05709234506596817,507
1,0.22478262451239328,0.08433885947424301,-0.1397827457048789,0.06847288539572706,0.3645653702172722,0.005928553858650694,507
2,0.2572963241227131,0.11501349650138132,-0.10854589802992401,0.08177955046722363,0.36584222215263706,0.03423083220599513,507
3,0.3187584973201706,0.12753751655178125,-0.11414080383264907,0.09244736812423993,0.43289930115281966,0.026191611343108583,507
4,0.2580094541551228,0.1506695792679521,-0.05963782479076529,0.11575902879067972,0.31764727894588807,0.18212710518976571,507
5,0.27020052052787036,0.15816585382487736,-0.0882035053800907,0.12335987621467291,0.35840402590796105,0.14034060986761432,506
6,0.3594967223572382,0.17397466096810021,-0.1282995087714559,0.14894960669918486,0.4877962311286941,0.08315731395554062,506
7,0.38375511567063814,0.18913214841516376,-0.2311582252415319,0.15599571650130156,0.6149133409121701,0.04151550438497341,505
8,0.4418356514339592,0.19320841606526987,-0.3171439224322089,0.16912477457578898,0.7589795738661681,0.018005818293331106,504
9,0.5006727997541514,0.2024084443703841,-0.3545040726857701,0.18209240066691987,0.8551768724399215,0.01207242374117106,503
10,0.5336304577033537,0.21435628441899077,-0.4176693222644868,0.20084572614005397,0.9512997799678404,0.009948218632336893,502
11,0.5894660942312211,0.24917363998414563,-0.4249539489309361,0.22336117212697645,1.0144200431621573,0.01686759167956004,501
12,0.6123085676000124,0.29252501952664844,-0.45897053766247786,0.2555564911202456,1.0712791052624904,0.030298333578534682,500
13,0.5809893876713823,0.3255849283084172,-0.4429371706055443,0.280606375756669,1.0239265582769266,0.062069246727889466,499
14,0.5254861416679177,0.3384955685682026,-0.4138469598180471,0.30072023343704735,0.9393331014859648,0.10697873833865118,498
15,0.5482060847456593,0.3373544715889486,-0.45428147169047856,0.3139720126503712,1.002487556436138,0.09113030453671264,497
16,0.6423090330827859,0.34293626289320567,-0.5730590280502637,0.3183461373685583,1.2153680611330495,0.04302822112865429,496
17,0.6375540198499534,0.34035941600531666,-0.6015800000511451,0.31650837605167753,1.2391340199010985,0.03592699776687121,495
18,0.6721986309136119,0.3297844215061602,-0.6857420910855303,0.3169205266137372,1.3579407219991422,0.01788346234927292,494
19,0.7309358878989496,0.3296262451722395,-0.7241383075136962,0.34043669137923027,1.4550741954126458,0.014628895505317386,493
20,0.8768355625974578,0.3323497283331347,-0.8180648154684556,0.35341928961162505,1.6949003780659133,0.005163713918149628,492
21,0.9010738766476001,0.3419526798360574,-0.8303923569943331,0.37320294704188484,1.731466233641933,0.006273288280043457,491
22,0.9318840553500811,0.3617029418028998,-0.8680584936761284,0.38554097381414654,1.7999425490262095,0.006055718159266286,490
23,0.9679201559441011,0.3702271946622901,-0.8985375571903846,0.3907853184492571,1.8664577131344857,0.005430823551488393,489
24,1.0856675290550868,0.3747083775890237,-0.9621394698626221,0.3864388564201435,2.047806998917709,0.0020854782984138683,488
