h,hot_full,hot_ex2122,slack
0,0.027513156570918698,0.1399025480616803,-0.008299851729543646
1,0.10601712279444125,0.07795379996984153,-0.011955380019791403
2,0.014856801037614442,-0.022530757021407277,0.020250066222276382
3,0.02406748594040753,-0.23311404659810764,0.04169810776838091
4,-0.10063476312954323,-0.5151185980321045,0.05690295082735264
5,-0.015304623853562793,-0.592633063977843,0.037234796758915584
6,0.0998862725459837,-0.3561765471456326,0.04836459074040417
7,0.16337626261124405,-0.2791622800602316,-0.0030593593254167883
8,0.17230178728195655,-0.4714868631079696,-0.026302618573153275
9,0.3422890501355007,-0.32708306508898866,-0.027873134866372218
10,0.3064273669210871,-0.5461397308547156,-0.03567744425071051
11,0.24718708670700984,-0.6652951973132015,-0.003505309115172023
12,0.1788496061669198,-0.6208074146787024,0.0004414605145136863
13,0.011667406671845626,-0.9093606226914601,0.01939798614298721
14,-0.03455502029363089,-0.8575731529693613,0.02672769527872726
15,0.06068585489855449,-0.5409998773427318,0.01765827299276468
16,0.18946996921310744,-0.31757924791335723,-0.0024057846429827168
17,0.18611428433318444,-0.22914193743336897,-0.008520569969586417
18,0.29071342604370987,-0.16266497146940262,-0.041121041357482624
19,0.3373916086232165,-0.204299128794994,-0.03446941606621229
20,0.553020029318434,-0.20075443126505288,-0.04963925560033072
21,0.46839300739044676,0.12344175314865335,-0.04561075922591029
22,0.430340722008709,-0.0771558529631835,-0.048898689786406546
23,0.29698064034798666,-0.3470317051197047,-0.030950712689266136
24,0.5931296068838936,-0.16025489615153576,-0.0223527625024858
