date,idecs,iers,itua,pcucst,pcuhsro,pcums,pcuserh
1956-01-01,,,,22.8,,16.1,
1956-02-01,,,,22.7,,16.0,
1956-03-01,,,,22.8,,16.2,
1956-04-01,,,,22.8,,16.2,
1956-05-01,,,,23.0,,16.2,
1956-06-01,,,,23.0,,16.3,
1956-07-01,,,,23.0,,16.3,
1956-08-01,,,,23.0,,16.4,
1956-09-01,,,,23.1,,16.5,
1956-10-01,,,,23.2,,16.5,
1956-11-01,,,,23.2,,16.6,
1956-12-01,,,,23.3,,16.6,
1957-01-01,,,,23.5,,16.7,
1957-02-01,,,,23.7,,16.7,
1957-03-01,,,,23.7,,16.8,
1957-04-01,,,,23.8,,16.9,
1957-05-01,,,,23.9,,16.9,
1957-06-01,,,,24.0,,17.0,
1957-07-01,,,,24.2,,17.1,
1957-08-01,,,,24.4,,17.1,
1957-09-01,,,,24.4,,17.1,
1957-10-01,,,,24.5,,17.2,
1957-11-01,,,,24.7,,17.3,
1957-12-01,,,,24.7,,17.4,
1958-01-01,,,,24.9,,17.5,
1958-02-01,,,,25.4,,17.5,
1958-03-01,,,,25.4,,17.6,
1958-04-01,,,,25.5,,17.6,
1958-05-01,,,,25.5,,17.7,
1958-06-01,,,,25.7,,17.8,
1958-07-01,,,,25.7,,17.9,
1958-08-01,,,,25.8,,17.9,
1958-09-01,,,,25.8,,18.1,
1958-10-01,,,,25.9,,18.2,
1958-11-01,,,,26.0,,18.2,
1958-12-01,,,,26.0,,18.3,
1959-01-01,,,,26.2,,18.3,
1959-02-01,,,,26.1,,18.4,
1959-03-01,,,,26.2,,18.5,
1959-04-01,,,,26.3,,18.6,
1959-05-01,,,,26.4,,18.6,
1959-06-01,,,,26.4,,18.7,
1959-07-01,,,,26.6,,18.7,
1959-08-01,,,,26.7,,18.8,
1959-09-01,,,,26.8,,18.9,
1959-10-01,,,,26.8,,19.0,
1959-11-01,,,,26.9,,19.0,
1959-12-01,,,,26.9,,19.1,
1960-01-01,,,,26.9,,19.1,
1960-02-01,,,,26.9,,19.2,
1960-03-01,,,,27.0,,19.3,
1960-04-01,,,,27.0,,19.4,
1960-05-01,,,,27.1,,19.4,
1960-06-01,,,,27.2,,19.5,
1960-07-01,,,,27.2,,19.5,
1960-08-01,,,,27.3,,19.6,
1960-09-01,,,,27.4,,19.6,
1960-10-01,,,,27.4,,19.7,
1960-11-01,,,,27.6,,19.8,
1960-12-01,,,,27.5,,19.8,
1961-01-01,,,,27.6,,19.9,
1961-02-01,,,,27.6,,20.0,
1961-03-01,,,,27.6,,20.0,
1961-04-01,,,,27.7,,20.1,
1961-05-01,,,,27.7,,20.1,
1961-06-01,,,,27.8,,20.2,
1961-07-01,,,,27.8,,20.3,
1961-08-01,,,,27.9,,20.3,
1961-09-01,,,,28.0,,20.3,
1961-10-01,,,,28.0,,20.4,
1961-11-01,,,,28.0,,20.5,
1961-12-01,,,,28.1,,20.6,
1962-01-01,,,,28.1,,20.6,
1962-02-01,,,,28.2,,20.6,
1962-03-01,,,,28.2,,20.7,
1962-04-01,,,,28.3,,20.7,
1962-05-01,,,,28.3,,20.8,
1962-06-01,,,,28.3,,20.9,
1962-07-01,,,,28.4,,20.9,
1962-08-01,,,,28.4,,21.0,
1962-09-01,,,,28.2,,21.0,
1962-10-01,,,,28.2,,21.0,
1962-11-01,,,,28.2,,21.1,
1962-12-01,,,,28.2,,21.2,
1963-01-01,,,,28.2,,21.3,
1963-02-01,,,,28.3,,21.3,
1963-03-01,,,,28.4,,21.3,
1963-04-01,,,,28.4,,21.3,
1963-05-01,,,,28.5,,21.4,
1963-06-01,,,,28.6,,21.5,
1963-07-01,,,,28.6,,21.5,
1963-08-01,,,,28.7,,21.6,
1963-09-01,,,,28.8,,21.6,
1963-10-01,,,,28.8,,21.6,
1963-11-01,,,,28.9,,21.7,
1963-12-01,,,,29.0,,21.7,
1964-01-01,,,,29.0,,21.7,
1964-02-01,,,,29.0,,21.8,
1964-03-01,,,,29.0,,21.8,
1964-04-01,,,,29.0,,21.9,
1964-05-01,,,,29.1,,22.0,
1964-06-01,,,,29.1,,22.0,
1964-07-01,,,,29.2,,22.0,
1964-08-01,,,,29.3,,22.1,
1964-09-01,,,,29.3,,22.1,
1964-10-01,,,,29.4,,22.2,
1964-11-01,,,,29.6,,22.2,
1964-12-01,,,,29.7,,22.3,
1965-01-01,,,,29.8,,22.3,
1965-02-01,,,,30.0,,22.4,
1965-03-01,,,,30.0,,22.5,
1965-04-01,,,,30.1,,22.5,
1965-05-01,,,,30.2,,22.6,
1965-06-01,,,,30.2,,22.7,
1965-07-01,,,,30.3,,22.8,
1965-08-01,,,,30.4,,22.8,
1965-09-01,,,,30.6,,22.8,
1965-10-01,,,,30.8,,22.9,
1965-11-01,,,,30.8,,23.0,
1965-12-01,,,,30.9,,23.1,
1966-01-01,,,,31.0,,23.1,
1966-02-01,,,,31.1,,23.2,
1966-03-01,,,,31.1,,23.3,
1966-04-01,,,,31.2,,23.4,
1966-05-01,,,,31.2,,23.6,
1966-06-01,,,,31.3,,23.7,
1966-07-01,,,,31.8,,23.9,
1966-08-01,,,,31.9,,24.1,
1966-09-01,,,,32.0,,24.3,
1966-10-01,,,,32.1,,24.6,
1966-11-01,,,,32.1,,24.8,
1966-12-01,,,,32.2,,24.9,
1967-01-01,,,,32.2,,25.1,
1967-02-01,,,,32.3,,25.3,
1967-03-01,,,,32.3,,25.5,
1967-04-01,,,,32.4,,25.6,
1967-05-01,,,,32.4,,25.8,
1967-06-01,,,,32.6,,25.9,
1967-07-01,,,,32.6,,26.1,
1967-08-01,,,,32.7,,26.2,
1967-09-01,,,,32.8,,26.4,
1967-10-01,,,,32.9,,26.6,
1967-11-01,,,,33.1,,26.8,
1967-12-01,,,,33.2,,26.9,
1968-01-01,,,,33.4,,27.1,
1968-02-01,,,,33.5,,27.2,
1968-03-01,,,,33.7,,27.4,
1968-04-01,,,,33.7,,27.5,
1968-05-01,,,,33.7,,27.7,
1968-06-01,,,,33.9,,27.8,
1968-07-01,,,,33.9,,27.9,
1968-08-01,,,,34.0,,28.0,
1968-09-01,,,,34.0,,28.2,
1968-10-01,,,,34.2,,28.5,
1968-11-01,,,,34.4,,28.7,
1968-12-01,,,,34.9,,28.9,
1969-01-01,,,,35.4,,29.1,
1969-02-01,,,,35.5,,29.3,
1969-03-01,,,,35.8,,29.6,
1969-04-01,,,,35.9,,29.8,
1969-05-01,,,,36.0,,30.0,
1969-06-01,,,,36.2,,30.2,
1969-07-01,,,,36.3,,30.3,
1969-08-01,,,,36.4,,30.5,
1969-09-01,,,,36.6,,30.7,
1969-10-01,,,,36.9,,30.6,
1969-11-01,,,,37.1,,30.8,
1969-12-01,,,,37.7,,30.9,
1970-01-01,,,,38.9,,31.1,
1970-02-01,,,,39.1,,31.3,
1970-03-01,,,,39.3,,31.6,
1970-04-01,,,,39.5,,31.8,
1970-05-01,,,,39.7,,32.0,
1970-06-01,,,,40.0,,32.3,
1970-07-01,,,,40.3,,32.4,
1970-08-01,,,,40.4,,32.7,
1970-09-01,,,,40.8,,32.9,
1970-10-01,,,,41.1,,33.0,
1970-11-01,,,,41.5,,33.2,
1970-12-01,,,,41.6,,33.5,
1971-01-01,,,,42.3,,33.7,
1971-02-01,,,,42.9,,33.9,
1971-03-01,,,,43.1,,34.1,
1971-04-01,,,,43.4,,34.3,
1971-05-01,,,,43.4,,34.5,
1971-06-01,,,,43.8,,34.7,
1971-07-01,,,,43.9,,34.9,
1971-08-01,,,,43.8,,35.1,
1971-09-01,,,,43.7,,35.2,
1971-10-01,,,,43.7,,35.0,
1971-11-01,,,,43.8,,35.1,
1971-12-01,,,,43.9,,35.2,
1972-01-01,,,,44.3,,35.4,
1972-02-01,,,,44.3,,35.5,
1972-03-01,,,,44.2,,35.6,
1972-04-01,,,,44.3,,35.7,
1972-05-01,,,,44.3,,35.8,
1972-06-01,,,,44.4,,35.9,
1972-07-01,,,,44.5,,36.0,
1972-08-01,,,,44.5,,36.0,
1972-09-01,,,,44.5,,36.1,
1972-10-01,,,,44.5,,36.4,
1972-11-01,,,,44.5,,36.5,
1972-12-01,,,,44.6,,36.6,
1973-01-01,,,,44.4,,36.7,
1973-02-01,,,,44.4,,36.8,
1973-03-01,,,,44.5,,36.9,
1973-04-01,,,,44.6,,37.1,
1973-05-01,,,,44.6,,37.3,
1973-06-01,,,,44.7,,37.4,
1973-07-01,,,,44.7,,37.4,
1973-08-01,,,,44.8,,37.5,
1973-09-01,,,,44.8,,37.7,
1973-10-01,,,,44.9,,38.5,
1973-11-01,,,,44.9,,38.6,
1973-12-01,,,,45.1,,38.7,
1974-01-01,,,,45.3,,38.9,
1974-02-01,,,,45.4,,39.3,
1974-03-01,,,,45.5,,39.6,
1974-04-01,,,,45.7,,39.9,
1974-05-01,,,,45.9,,40.4,
1974-06-01,,,,46.2,,41.1,
1974-07-01,,,,46.4,,41.6,
1974-08-01,,,,46.6,,42.3,
1974-09-01,,,,46.8,,42.7,
1974-10-01,,,,47.0,,43.1,
1974-11-01,,,,47.3,,43.5,
1974-12-01,,,,47.7,,43.9,
1975-01-01,,,,47.8,,44.4,
1975-02-01,,,,48.1,,44.9,
