date,jcsxehm,jcxfebm
1959-01-01,9.4,15.501
1959-02-01,9.4,15.513
1959-03-01,9.4,15.531
1959-04-01,9.4,15.57
1959-05-01,9.5,15.589
1959-06-01,9.5,15.635
1959-07-01,9.5,15.672
1959-08-01,9.6,15.697
1959-09-01,9.6,15.738
1959-10-01,9.6,15.765
1959-11-01,9.7,15.794
1959-12-01,9.7,15.818
1960-01-01,9.7,15.822
1960-02-01,9.7,15.852
1960-03-01,9.7,15.853
1960-04-01,9.8,15.882
1960-05-01,9.8,15.908
1960-06-01,9.8,15.917
1960-07-01,9.8,15.945
1960-08-01,9.9,15.968
1960-09-01,9.9,15.981
1960-10-01,9.9,15.99
1960-11-01,9.9,16.033
1960-12-01,9.9,16.028
1961-01-01,9.9,16.032
1961-02-01,9.9,16.048
1961-03-01,10.0,16.053
1961-04-01,10.0,16.075
1961-05-01,10.0,16.096
1961-06-01,10.0,16.12
1961-07-01,10.0,16.145
1961-08-01,10.0,16.162
1961-09-01,10.1,16.194
1961-10-01,10.1,16.199
1961-11-01,10.1,16.202
1961-12-01,10.1,16.216
1962-01-01,10.1,16.235
1962-02-01,10.2,16.262
1962-03-01,10.2,16.3
1962-04-01,10.2,16.303
1962-05-01,10.2,16.326
1962-06-01,10.3,16.356
1962-07-01,10.3,16.37
1962-08-01,10.3,16.372
1962-09-01,10.3,16.404
1962-10-01,10.3,16.403
1962-11-01,10.3,16.415
1962-12-01,10.3,16.42
1963-01-01,10.4,16.451
1963-02-01,10.4,16.47
1963-03-01,10.4,16.48
1963-04-01,10.4,16.5
1963-05-01,10.4,16.53
1963-06-01,10.4,16.558
1963-07-01,10.5,16.573
1963-08-01,10.5,16.588
1963-09-01,10.5,16.618
1963-10-01,10.5,16.655
1963-11-01,10.5,16.67
1963-12-01,10.6,16.694
1964-01-01,10.6,16.717
1964-02-01,10.6,16.749
1964-03-01,10.6,16.765
1964-04-01,10.6,16.78
1964-05-01,10.7,16.794
1964-06-01,10.7,16.806
1964-07-01,10.7,16.823
1964-08-01,10.7,16.845
1964-09-01,10.8,16.852
1964-10-01,10.8,16.859
1964-11-01,10.8,16.883
1964-12-01,10.8,16.907
1965-01-01,10.8,16.93
1965-02-01,10.9,16.95
1965-03-01,10.9,16.96
1965-04-01,10.9,16.98
1965-05-01,10.9,17.011
1965-06-01,10.9,17.007
1965-07-01,11.0,17.024
1965-08-01,11.0,17.056
1965-09-01,11.0,17.076
1965-10-01,11.1,17.07
1965-11-01,11.1,17.102
1965-12-01,11.1,17.154
1966-01-01,11.1,17.159
1966-02-01,11.2,17.201
1966-03-01,11.2,17.223
1966-04-01,11.2,17.285
1966-05-01,11.3,17.331
1966-06-01,11.4,17.387
1966-07-01,11.4,17.438
1966-08-01,11.4,17.47
1966-09-01,11.5,17.524
1966-10-01,11.5,17.581
1966-11-01,11.6,17.625
1966-12-01,11.6,17.679
1967-01-01,11.6,17.695
1967-02-01,11.7,17.727
1967-03-01,11.7,17.754
1967-04-01,11.7,17.803
1967-05-01,11.8,17.842
1967-06-01,11.8,17.887
1967-07-01,11.9,17.948
1967-08-01,11.9,18.003
1967-09-01,11.9,18.067
1967-10-01,12.0,18.134
1967-11-01,12.0,18.192
1967-12-01,12.1,18.237
1968-01-01,12.1,18.318
1968-02-01,12.2,18.397
1968-03-01,12.3,18.47
1968-04-01,12.3,18.538
1968-05-01,12.4,18.608
1968-06-01,12.5,18.681
1968-07-01,12.5,18.743
1968-08-01,12.6,18.816
