date,demand_yoy,supply_yoy,ambig_yoy
1969-12-01,1.137614,2.954412,0.5954504
1970-01-01,1.255393,2.812362,0.5674839
1970-02-01,1.316857,2.795291,0.5643845
1970-03-01,1.242721,2.797878,0.5383492
1970-04-01,1.275134,2.703893,0.60395
1970-05-01,1.268208,2.658486,0.6057382
1970-06-01,1.214755,2.687502,0.6458402
1970-07-01,1.301897,2.524567,0.6318092
1970-08-01,1.296723,2.571201,0.6508112
1970-09-01,1.286507,2.531004,0.7148385
1970-10-01,1.309717,2.541554,0.7519603
1970-11-01,1.307845,2.635479,0.7919788
1970-12-01,1.502359,2.595067,0.7608891
1971-01-01,1.445508,2.697611,0.7612705
1971-02-01,1.468229,2.729535,0.7014871
1971-03-01,1.521683,2.635205,0.6862998
1971-04-01,1.512754,2.684009,0.6236553
1971-05-01,1.574385,2.677906,0.6522894
1971-06-01,1.598144,2.744055,0.5962133
1971-07-01,1.555824,2.730501,0.6605625
1971-08-01,1.545572,2.560627,0.6414175
1971-09-01,1.562858,2.434433,0.5074739
1971-10-01,1.444697,2.27114,0.4471064
1971-11-01,1.385713,2.076221,0.4100204
1971-12-01,1.257408,2.0702,0.3643394
1972-01-01,1.218367,2.118528,0.4081368
1972-02-01,1.054263,2.121019,0.4619122
1972-03-01,1.0113,2.022231,0.4840612
1972-04-01,0.9794831,1.938772,0.4626989
1972-05-01,0.8925796,1.816308,0.4706383
1972-06-01,0.9059072,1.641119,0.435698
1972-07-01,0.8733273,1.648581,0.3639817
1972-08-01,0.8238316,1.749277,0.3787279
1972-09-01,0.8402467,1.764846,0.5073905
1972-10-01,0.9263992,1.579702,0.5072951
1972-11-01,0.9172678,1.637423,0.4963636
1972-12-01,0.8801937,1.648426,0.5065799
1973-01-01,0.7991672,1.437128,0.4294634
1973-02-01,0.9546757,1.364613,0.3854394
1973-03-01,0.9915233,1.516521,0.4047275
1973-04-01,1.046419,1.768816,0.4454374
1973-05-01,1.071334,1.942801,0.4016161
1973-06-01,1.065493,2.114725,0.4678845
1973-07-01,1.080465,2.238822,0.4756689
1973-08-01,1.198018,2.389741,0.4674435
1973-09-01,1.171339,2.530408,0.5304337
1973-10-01,1.139414,2.899563,0.5262136
1973-11-01,1.280105,2.929544,0.5772948
1973-12-01,1.317751,3.092349,0.6341457
1974-01-01,1.501369,3.299463,0.6840587
1974-02-01,1.508975,3.568304,0.7441998
1974-03-01,1.70908,3.774714,0.7223606
1974-04-01,1.829052,3.836191,0.7167697
1974-05-01,2.097452,4.117632,0.7543802
1974-06-01,2.349317,4.50474,0.7286191
1974-07-01,2.574432,4.777336,0.6970167
1974-08-01,2.639771,4.988635,0.9238005
1974-09-01,2.64014,5.463421,0.8560658
1974-10-01,2.711058,5.712569,0.9484291
1974-11-01,2.680218,5.955791,0.9899378
1974-12-01,2.786779,5.985975,1.006722
1975-01-01,2.643013,6.167018,1.062286
1975-02-01,2.71219,6.129932,1.089787
1975-03-01,2.529192,5.959058,1.183951
1975-04-01,2.422965,5.800474,1.175106
1975-05-01,2.15745,5.45162,1.236355
1975-06-01,1.932061,5.096948,1.259792
1975-07-01,1.857173,4.897892,1.258397
1975-08-01,1.730299,4.581428,1.068985
1975-09-01,1.73744,4.187298,1.08223
1975-10-01,1.779926,3.913641,1.017177
1975-11-01,1.844072,3.862989,0.9396315
1975-12-01,1.788151,3.733635,1.02098
1976-01-01,1.985204,3.512824,0.9789824
1976-02-01,1.920593,3.281188,0.9695292
1976-03-01,1.919043,3.196383,0.8536339
1976-04-01,1.89904,3.14405,0.8272648
1976-05-01,1.924455,3.116,0.8827448
1976-06-01,1.960528,3.024602,0.8548975
1976-07-01,1.801562,2.987683,0.9859204
1976-08-01,1.82035,3.192222,1.003444
1976-09-01,1.922631,3.086936,1.053441
1976-10-01,1.862144,3.097332,1.096714
1976-11-01,1.899171,2.796614,1.147044
1976-12-01,1.838839,2.876568,1.069665
1977-01-01,1.687908,3.027511,1.165807
1977-02-01,1.782036,3.231156,1.088893
1977-03-01,1.838589,3.174806,1.182282
1977-04-01,1.883447,3.13338,1.284754
1977-05-01,1.851964,3.269601,1.211894
1977-06-01,1.818907,3.377855,1.332974
1977-07-01,1.952529,3.362393,1.281643
1977-08-01,2.01236,3.158927,1.333857
1977-09-01,1.942813,3.135264,1.261175
1977-10-01,2.031446,3.050983,1.247776
1977-11-01,1.9454,3.181088,1.263762
1977-12-01,1.996934,3.050768,1.311326
1978-01-01,2.088988,2.991283,1.260877
1978-02-01,1.871085,2.922499,1.310813
1978-03-01,2.02229,2.917874,1.282644
1978-04-01,2.158952,2.97308,1.243377
1978-05-01,2.250302,2.922535,1.281166
1978-06-01,2.371728,2.873492,1.1675
1978-07-01,2.387452,2.871513,1.118422
1978-08-01,2.302074,3.008556,1.110065
1978-09-01,2.350736,3.100049,1.122463
1978-10-01,2.434337,3.225207,1.161671
1978-11-01,2.431631,3.311861,1.102686
1978-12-01,2.348995,3.378558,1.001191
1979-01-01,2.233124,3.460741,0.9443045
1979-02-01,2.406955,3.423917,0.7282972
1979-03-01,2.312756,3.608394,0.6702304
1979-04-01,2.436852,3.629649,0.7684588
1979-05-01,2.755022,3.66509,0.6838202
1979-06-01,2.675378,3.614962,0.8136868
1979-07-01,2.564824,3.497827,0.9584308
1979-08-01,2.592754,3.625154,0.9357572
1979-09-01,2.711761,3.633869,0.9203672
1979-10-01,2.542496,3.794622,0.9314179
1979-11-01,2.505803,3.888559,0.9788513
1979-12-01,2.634931,4.048264,1.014221
1980-01-01,2.939403,4.01901,0.9936333
1980-02-01,3.027523,4.396009,1.236701
1980-03-01,3.090894,4.695284,1.236773
1980-04-01,2.805018,4.727435,1.107323
1980-05-01,2.487433,4.944015,1.160848
1980-06-01,2.352881,5.165148,1.187205
1980-07-01,2.457917,5.404186,1.050723
1980-08-01,2.532136,5.393565,1.044786
1980-09-01,2.582014,5.576658,1.075888
1980-10-01,2.772391,5.471468,1.076221
1980-11-01,2.911246,5.492854,1.059687
1980-12-01,2.90761,5.328774,1.106083
1981-01-01,2.716672,5.341673,1.399732
1981-02-01,2.536118,5.186439,1.462841
1981-03-01,2.453244,4.809272,1.540244
1981-04-01,2.542758,4.822278,1.573753
1981-05-01,2.535701,4.751074,1.536453
1981-06-01,2.596521,4.754841,1.306462
1981-07-01,2.605319,4.570055,1.378858
1981-08-01,2.453983,4.706573,1.342618
1981-09-01,2.15466,4.62904,1.4189
1981-10-01,1.996803,4.604089,1.374722
1981-11-01,1.951337,4.46142,1.355326
1981-12-01,1.800168,4.45534,1.276374
1982-01-01,1.871037,4.441416,0.9578228
1982-02-01,1.889479,4.18222,0.8427858
1982-03-01,1.787877,4.196584,0.809586
1982-04-01,1.592779,4.092503,0.8595347
1982-05-01,1.696491,3.879213,0.8227229
1982-06-01,1.759577,3.750515,0.8869886
1982-07-01,1.851821,3.752065,0.8364081
1982-08-01,2.003753,3.327584,0.8909941
1982-09-01,1.953876,3.200746,0.7892251
1982-10-01,2.092278,3.144383,0.7463813
1982-11-01,2.027106,2.881849,0.8623958
1982-12-01,2.050304,2.826905,0.8466959
1983-01-01,2.240908,2.700424,0.8596897
1983-02-01,2.202976,2.701879,0.8887172
1983-03-01,2.049339,2.528238,0.9085178
1983-04-01,1.850581,2.695012,0.8373141
1983-05-01,1.610911,2.522016,0.8350253
1983-06-01,1.666641,2.415657,0.8486986
1983-07-01,1.741803,2.37633,0.8052707
1983-08-01,1.669991,2.567148,0.7290125
1983-09-01,1.868033,2.430642,0.7008433
1983-10-01,1.641917,2.263474,0.6333232
1983-11-01,1.650476,2.21175,0.5267024
1983-12-01,1.553929,1.987708,0.590837
1984-01-01,1.116002,1.967657,0.6650805
1984-02-01,1.395512,1.949394,0.6243229
1984-03-01,1.715326,1.902783,0.5907416
1984-04-01,2.015901,1.789355,0.5664706
1984-05-01,2.050316,1.815069,0.5932331
1984-06-01,2.039301,1.592553,0.5899549
1984-07-01,1.911497,1.49132,0.5997539
1984-08-01,1.905429,1.277077,0.6489038
1984-09-01,1.70213,1.14193,0.7324219
1984-10-01,1.625991,1.200628,0.790596
1984-11-01,1.518846,1.32122,0.7654071
1984-12-01,1.796126,1.360679,0.7739902
1985-01-01,2.152061,1.32035,0.7081866
1985-02-01,1.921475,1.392484,0.7858515
1985-03-01,1.791453,1.507878,0.7838726
1985-04-01,1.626241,1.326013,0.7927775
1985-05-01,1.77027,1.165092,0.9371638
1985-06-01,1.652646,1.32947,0.9884596
1985-07-01,1.621878,1.250255,0.9606361
1985-08-01,1.634252,1.399744,0.9527564
1985-09-01,1.647234,1.537633,0.8565426
1985-10-01,1.503897,1.550829,0.9178877
1985-11-01,1.492155,1.596034,0.9174824
1985-12-01,1.326621,1.611102,0.9539127
1986-01-01,1.253259,1.630425,0.9952903
1986-02-01,1.248932,1.408219,0.9608388
1986-03-01,1.245189,1.339006,0.9901404
1986-04-01,1.270187,1.336277,1.031375
1986-05-01,1.141179,1.426327,0.8910537
1986-06-01,1.230037,1.387906,0.8143902
1986-07-01,1.131666,1.348674,0.8414865
1986-08-01,1.087916,1.128685,0.8238673
1986-09-01,1.177859,0.9833813,1.001787
1986-10-01,1.434112,0.9192109,0.9967804
1986-11-01,1.448047,0.8476615,1.021922
1986-12-01,1.529658,0.7534385,0.8938193
1987-01-01,1.315248,0.6310821,0.9344697
1987-02-01,1.328719,0.615561,0.8861542
1987-03-01,1.258004,0.7404327,0.824213
1987-04-01,1.338673,0.8288383,0.8993745
1987-05-01,1.347816,0.9312987,0.8989692
1987-06-01,1.26251,0.97363,0.9113789
1987-07-01,1.240468,1.018345,0.9676933
1987-08-01,1.211989,1.145458,1.002181
1987-09-01,1.260364,1.344609,0.8217454
1987-10-01,1.295483,1.454115,0.769949
1987-11-01,1.26797,1.515305,0.7290721
1987-12-01,1.20753,1.594651,0.7825494
1988-01-01,1.320124,1.726329,0.7641912
1988-02-01,1.304901,1.738918,0.759685
1988-03-01,1.45911,1.683414,0.7872581
1988-04-01,1.42746,1.896238,0.6702542
1988-05-01,1.456332,1.912761,0.6857514
1988-06-01,1.502013,1.976979,0.7235765
1988-07-01,1.620078,2.031875,0.7025599
1988-08-01,1.67346,1.963401,0.6284118
1988-09-01,1.634157,2.08323,0.6917596
1988-10-01,1.595867,2.05276,0.7135391
1988-11-01,1.699042,1.948369,0.7837772
1988-12-01,1.694322,2.017534,0.8445144
1989-01-01,1.608276,2.074826,0.9043217
1989-02-01,1.399863,2.32228,0.9192705
1989-03-01,1.168609,2.359927,0.9875536
1989-04-01,1.203322,2.148592,1.010895
1989-05-01,1.178432,2.196121,0.948
1989-06-01,1.19071,2.097213,0.8783698
1989-07-01,1.083446,2.071464,0.8615494
1989-08-01,1.03997,2.007914,0.8613706
1989-09-01,0.963819,1.933289,0.8157372
1989-10-01,0.9032607,2.020156,0.7721782
1989-11-01,0.804913,2.041686,0.836885
1989-12-01,0.7546782,2.158296,0.7233024
1990-01-01,0.8585453,2.029502,0.6290793
1990-02-01,0.9554148,2.167261,0.6280899
1990-03-01,1.209903,2.199316,0.5235672
1990-04-01,1.163113,2.209032,0.524652
1990-05-01,1.105559,2.16397,0.633347
1990-06-01,1.180184,2.169943,0.6767035
1990-07-01,1.21609,2.182913,0.6218076
1990-08-01,1.198912,2.482951,0.6184697
1990-09-01,1.231551,2.432215,0.6427288
1990-10-01,1.244605,2.393186,0.6454706
1990-11-01,1.228631,2.403998,0.5084276
1990-12-01,1.146281,2.336478,0.5125523
1991-01-01,1.026261,2.583802,0.5015969
1991-02-01,1.066947,2.298057,0.5354643
1991-03-01,0.8830786,2.14833,0.5975008
1991-04-01,0.912714,2.068222,0.5484343
1991-05-01,0.9510517,2.119696,0.5538464
1991-06-01,0.7849813,2.13778,0.5293846
1991-07-01,0.7252097,2.238226,0.5434275
1991-08-01,0.8066773,2.002478,0.5545735
1991-09-01,0.7920861,2.075768,0.5476475
1991-10-01,0.7213235,2.002156,0.5725265
1991-11-01,0.7562757,1.980102,0.6276011
1991-12-01,0.7758498,2.064276,0.6325603
1992-01-01,0.7869601,1.775718,0.6842017
1992-02-01,0.8450985,1.685381,0.7119656
1992-03-01,0.7782221,1.821983,0.6819248
1992-04-01,0.7862568,1.906586,0.7184267
1992-05-01,0.790751,1.803672,0.5558848
1992-06-01,0.8280873,1.693058,0.4939437
1992-07-01,0.8538365,1.731515,0.4991651
1992-08-01,0.8515,1.592243,0.4522324
1992-09-01,0.8874297,1.33419,0.4347086
1992-10-01,0.9975314,1.334834,0.4934072
1992-11-01,1.049018,1.365149,0.4413486
1992-12-01,1.091242,1.20014,0.5030394
1993-01-01,1.050389,1.305485,0.4552484
