h,b0,se0,b1,se1,p_b1,n,b2,se2,p_b2,p_joint,beta_at_-1.50,se_at_-1.50,beta_at_-1.25,se_at_-1.25,beta_at_-1.00,se_at_-1.00,beta_at_-0.75,se_at_-0.75,beta_at_-0.50,se_at_-0.50,beta_at_-0.25,se_at_-0.25,beta_at_+0.00,se_at_+0.00,beta_at_+0.25,se_at_+0.25,beta_at_+0.50,se_at_+0.50,beta_at_+0.75,se_at_+0.75,beta_at_+1.00,se_at_+1.00,beta_at_+1.25,se_at_+1.25,beta_at_+1.50,se_at_+1.50,beta_at_+1.75,se_at_+1.75,beta_at_+2.00,se_at_+2.00
0,0.0013869955770080377,0.0161964242246984,-0.0023700140230233906,0.014034119884410777,0.8658948502148338,604,0.012022188690774736,0.005920378161465229,0.042290978567188206,0.03370537886409256,0.031991941165786277,0.028851282103373434,0.023134182935122802,0.023434714760633257,0.015779198290806165,0.019279791216194202,0.00992698723283637,0.016572980357531193,0.005577549761213417,0.015363124034433587,0.002730885875937306,0.015396811813600319,0.0013869955770080377,0.0161964242246984,0.001545878864425611,0.017310413304024157,0.0032075357381900265,0.01844354588453899,0.006371966198301283,0.01944931677613279,0.011039170244759382,0.02028992066504089,0.017209147877564324,0.02100859667425048,0.024881899096716106,0.02171599826244174,0.03405742390221473,0.02258107915708208,0.0447357222940602,0.02381517869871408
1,0.026526989377700982,0.022939402300572235,-0.008486017698732085,0.02201248371052599,0.6998601003036928,604,0.01299494017801809,0.008029519126861694,0.10557732263084549,0.13502963042692173,0.06849463132633982,0.043659463550591686,0.057439105529269355,0.03528260436405788,0.04800794725445116,0.028612997168878305,0.04020115650188522,0.02400381481788763,0.034018733271571545,0.02172222702734462,0.029460677563510135,0.02159440786078028,0.026526989377700982,0.022939402300572235,0.025217668714144093,0.02498471190877018,0.02553271557283946,0.02718656407119982,0.027472129953787096,0.029250858280718568,0.031035911856986988,0.031057474845543092,0.03622406128243914,0.032601170368281335,0.043036578230143556,0.03396072304673299,0.05147346270010023,0.03528460866279976,0.06153471469230917,0.03678115045690691
2,0.060304225724306326,0.02892374050335977,-0.014602422994084846,0.03138563080462693,0.6417465442981146,604,0.016329898283789238,0.012230088426651742,0.18180329305449083,0.33706188775095913,0.11895013135395938,0.06261467489422387,0.10407272053533308,0.04980842968702529,0.09123654700218041,0.03934001957406724,0.0804416107545014,0.031752339452060935,0.07168791179229606,0.027639920835211825,0.06497545011556437,0.02702380590604157,0.060304225724306326,0.02892374050335977,0.057674238618521945,0.03203571509293393,0.05708548879821121,0.035452127704699535,0.058537976263374134,0.03872671973446701,0.06203170101401072,0.04171933839758037,0.06756666305012095,0.04448155699579681,0.07514286237170484,0.047197680684721514,0.08476029897876239,0.0501508464288516,0.09641897287129358,0.05369039332057436
3,0.0743313743448463,0.03264405520535398,-0.028920030140911115,0.03668828614307164,0.4305426997194267,604,0.027717432192831622,0.014185340422101973,0.05070724503300679,0.1120636831876582,0.18007564199008413,0.07335938407672185,0.15378989982228458,0.05831724722018282,0.13096883667858902,0.045912329612535205,0.11161245255899742,0.036758399316422295,0.09572074746350975,0.03159016332320031,0.08329372139212604,0.030568048854874002,0.0743313743448463,0.03264405520535398,0.06883370632167049,0.036270403776334816,0.06680071732259864,0.04033499079338767,0.06823240734763074,0.044287574756903876,0.0731287763967668,0.04795297046838356,0.08148982447000681,0.05138659667666172,0.09331555156735077,0.05479886294168301,0.10860595768879869,0.05851147390798982,0.12736104283435057,0.06291728436329953
4,0.0694238929650092,0.03684038504400223,-0.061328428933831024,0.03924136730209975,0.11808753247946556,604,0.034562692301667225,0.01577361509055086,0.028439400396199514,0.08998046712365017,0.23918259404450698,0.07901192732136791,0.200088635853653,0.06291154098928535,0.16531501420050745,0.04981675579907139,0.13486172908507027,0.040391865709084554,0.10872878050734153,0.035322022327396216,0.08691616846732116,0.03455234356922536,0.0694238929650092,0.03684038504400223,0.05625195400040564,0.04059646639432187,0.04740035157351049,0.044722999528836634,0.042869085684323745,0.048687424760405204,0.0426581563328454,0.052339136529603744,0.046767563519075454,0.05577264728832904,0.055197307243013916,0.05925438168204654,0.06794738750466078,0.06317593728331566,0.08501780430401605,0.06800440349618418
5,0.0689233078458063,0.04254822758415482,-0.08055345543234149,0.04541514031910697,0.07611052330993331,603,0.04764778557416605,0.019861351009392268,0.016439000334764226,0.05474653441674065,0.2969610085361922,0.09427441212877898,0.24406479209586762,0.07472028225604017,0.19712454885231384,0.05885412077608792,0.15614027880553083,0.04744010409185398,0.12111198195551856,0.04124570424881147,0.09203965830227706,0.040131571559327894,0.0689233078458063,0.04254822758415482,0.05176293058610631,0.0465768111344207,0.04055852652317707,0.050925761764410764,0.03531009565701859,0.055001657677893015,0.036017637987630864,0.058688650191469495,0.04268115351501389,0.06219044894091738,0.05530064223916768,0.06594497582517338,0.07387610416009224,0.07055691231804716,0.09840753927778753,0.07670661281152526
6,0.1041046906292884,0.048118151595148914,-0.053401522139806826,0.0519951606975307,0.3043978956691469,603,0.036016679760761505,0.02293377500177613,0.11630708431479564,0.2905342888408118,0.26524450330071203,0.11224949972442441,0.22713265543023678,0.0894472416182798,0.19352289252985672,0.07076427231777939,0.16441521459957187,0.05695932994976189,0.13980962163938218,0.048831978899751126,0.1197061136492877,0.04637764032923188,0.1041046906292884,0.048118151595148914,0.09300535257938429,0.05195483487882269,0.08640809949957537,0.05633266267596828,0.08431293138986162,0.06047723065774365,0.08671984825024308,0.06419454750367497,0.09362885008071972,0.06769243963588555,0.10503993688129154,0.07147969889442092,0.12095310865195856,0.07628475580111618,0.14136836539272077,0.08293856713502437
7,0.08990110349196385,0.0542630478840581,-0.05551884499773434,0.06595571617057859,0.39992263394926264,602,0.047409775713092156,0.029728802117108388,0.11076989388972991,0.26785070007086476,0.27985136634302266,0.14527432328857645,0.2333774342908383,0.11532787476898297,0.19282972420279035,0.0902746099123674,0.15820823607887893,0.07094257640597648,0.12951296991910405,0.05843515734999589,0.10674392572346571,0.05330979331248158,0.08990110349196385,0.0542630478840581,0.07898450322459853,0.058608760459266426,0.07399412492136972,0.06410149811745058,0.07492996858227743,0.06960548279329694,0.08179203420732167,0.07485990800036348,0.09458032179650243,0.08018953636266575,0.1132948313498197,0.08631893939924914,0.1379355628672735,0.09421052605284556,0.16850251634886382,0.10486674702699356
8,0.09193027541355021,0.0620591501215977,-0.045395904309636685,0.07132163694068748,0.5244534825276794,601,0.05137059230983656,0.032270710579626646,0.11141519718103667,0.24001125306081175,0.2756079645751375,0.15341482797953845,0.2289417062847157,0.12139318278024991,0.18869677203302346,0.0949474880250133,0.15487316182006078,0.0751389175223609,0.1274708756458277,0.06324567814583706,0.10648991351032418,0.05955123756319869,0.09193027541355021,0.0620591501215977,0.08379196135550583,0.06766897743691061,0.082074971336191,0.07410363187805953,0.08677930535560577,0.08029622456727215,0.09790496341375009,0.08604940571209128,0.11545194551062399,0.09174438659482925,0.13942025164622746,0.09816998595093525,0.16980988182056048,0.10637357794203471,0.20662083603362308,0.1174671710914783
9,0.13637415396803895,0.06982089614635495,-0.0267939133359735,0.07694820348364137,0.7276846311311662,600,0.04527983847038842,0.036267522584847105,0.21184965808983836,0.396456925445476,0.27844466053037314,0.16559006823694294,0.24061629324798772,0.13125937573859378,0.20844790577440087,0.10324541835734595,0.18193949810961257,0.08266313019028793,0.16109107025362282,0.07067114380092171,0.1459026222064316,0.0671657511102978,0.13637415396803895,0.06982089614635495,0.13250566553844487,0.07549942436934358,0.13429715691764932,0.08200464314914563,0.1417486281056523,0.08837404613884284,0.15486007910245386,0.09455329927822084,0.17363150990805398,0.10111215965865272,0.19806292052245264,0.10904657724902816,0.22815431094564986,0.1195711383549878,0.2639056811776456,0.13386468487838993
