h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.0381700377362868,0.03711254250449202,-0.010970709219692364,0.024183781649575735,0.04914074695597916,0.3815071111166094,604
1,0.07973249929173884,0.049274369536087485,-0.0031440166569351446,0.038606524922979446,0.08287651594867398,0.2914994660414886,604
2,0.059097542700922184,0.0617508033333749,0.03627197649491076,0.04769523873078455,0.02282556620601142,0.811952494740189,604
3,0.05357703190314139,0.06731750617264036,0.07757596368397601,0.06270753387288702,-0.02399893178083462,0.8276161520926393,604
4,0.004960519212404424,0.07819086577870915,0.1195924916825935,0.08044790224436613,-0.11463197247018908,0.390094852183938,604
5,0.04703552621229412,0.0925733402226032,0.10529250759731218,0.10189727395664094,-0.05825698138501806,0.7262633919758104,603
6,0.07444039234762129,0.10395233470726355,0.08743505876061039,0.11638426520375937,-0.012994666412989103,0.9445843873678548,603
7,0.0856016539481263,0.11490116314834782,0.08153323395637402,0.13600126614072433,0.004068419991752281,0.9846596421041361,602
8,0.10268620010283591,0.1223547901310396,0.06272584516093027,0.1517401498513932,0.03996035494190564,0.8634795026820112,601
9,0.13628715635728256,0.1294400024224786,0.08450700443643022,0.1658810029023447,0.051780151920852335,0.8341480435030704,600
10,0.16075888309119268,0.1372505508320526,0.0761164930767432,0.16894866309300827,0.08464239001444948,0.7379810819035058,599
11,0.22912370682504224,0.14603444414331415,0.0353198007836637,0.17083774110391992,0.19380390604137854,0.45688383165773183,598
12,0.21162521888334485,0.14308180994196176,0.0751221486154714,0.16864967113843798,0.13650307026787345,0.5901590868766534,597
13,0.2342691852665651,0.1520609275951659,0.0547365785916909,0.1762201337903576,0.1795326066748742,0.5047471720668419,596
14,0.22987287847570237,0.16320310592944962,0.057168834061174956,0.18757004054853485,0.1727040444145274,0.5496665932992462,595
15,0.21522141579516324,0.17648197327661336,0.0685209298767614,0.20087742356310595,0.14670048591840185,0.6354958202441083,594
16,0.22490672681035084,0.19888153293827251,0.0573825044295459,0.21191987521297465,0.16752422238080494,0.6207236764187535,593
17,0.2695825019111534,0.20440103832774914,0.07750326020677578,0.22194439148994394,0.19207924170437762,0.5866123683970379,592
18,0.35953368098667116,0.21099842832816496,0.027711506885029102,0.23166294535106793,0.33182217410164205,0.36428102296304155,591
19,0.32622811917446426,0.22622033454031887,0.0808895712361064,0.2428702923618391,0.24533854793835785,0.530843060759822,590
20,0.3718851841784335,0.23959795006441015,0.08371684946857738,0.25043011761355893,0.28816833470985614,0.48131044907537457,589
21,0.37028813099727076,0.2573121437726432,0.09759731183129194,0.2647419829016771,0.2726908191659788,0.5320334906131717,588
22,0.32550588659920854,0.2802501476029603,0.15408356516746768,0.2804392632321291,0.17142232143174085,0.7129272681470693,587
23,0.3122408695362098,0.31025600014417426,0.17577686296879613,0.29268511830504046,0.13646400656741364,0.7862296485996968,586
24,0.29997923204441146,0.33684243623386617,0.18989795521167174,0.30657540153329665,0.11008127683273972,0.8374040234219189,585
