months_after_shock,hot,slack,linear_no_state,hot_lower60,hot_upper60,slack_lower60,slack_upper60,hot_lower90,hot_upper90,slack_lower90,slack_upper90
0,0.015091199007267957,0.008992241888587254,0.012307565065534392,-0.024618626169011608,0.05480102418354752,-0.002636958498559789,0.020621442275734297,-0.06252603294969483,0.09270843096423076,-0.013738312575358666,0.031722796352533174
1,0.03203428553900903,0.033589071830314704,0.03655660712213334,-0.02147820339744294,0.085546774475461,0.014465858099052337,0.052712285561577074,-0.07256177470393713,0.13663034578195518,-0.0037893580507767782,0.07096750171140619
2,-0.007060108081098193,0.0582475200895492,0.05897381221966736,-0.0811793252473289,0.06705910908513252,0.03294945336456281,0.08354558681453558,-0.1519342908739327,0.13781407471173632,0.008799659154897804,0.10769538102420059
3,0.006835301144986705,0.08141121172953994,0.08942746999529953,-0.0636197051341892,0.07729030742416261,0.04772735733785872,0.11509506612122117,-0.13087677743063633,0.14454737972060974,0.015572404131731471,0.1472500193273484
4,-0.05980456582045024,0.09622637185657917,0.1031725435972928,-0.13059893163939656,0.010989799998496072,0.05177653062615698,0.14067621308700137,-0.19817996003642774,0.07857082839552726,0.009344255858427422,0.18310848785473094
5,-0.021893982493636333,0.10883829411185705,0.12647928787363347,-0.10732358978572897,0.0635356247984563,0.05476403696683229,0.1629125512568818,-0.1888755699407518,0.14508760495347914,0.00314419596123236,0.21453239226248175
6,0.007770435256546859,0.11210912416526092,0.14156355780783236,-0.08565788320742629,0.10119875372052001,0.04968122547560566,0.17453702285491618,-0.1748455151631725,0.19038638567626623,-0.009913087508316668,0.2341313358388385
7,0.0694410902488028,0.11049335220987933,0.1585263194012147,-0.028527040657280636,0.1674092211548862,0.035067100423642916,0.18591960399611573,-0.12204842417670486,0.26093060467431045,-0.03693557386944446,0.2579222782892031
8,0.1152873888133838,0.10898074513810777,0.17450192190597386,0.004933017083554564,0.22564176054321303,0.027462825730809673,0.19049866454540587,-0.10041239908534375,0.3309871767121113,-0.05035501701137579,0.2683165072875913
9,0.1563427002921287,0.14243460496973484,0.21621764024522105,0.05170384411028463,0.2609815564739728,0.05398818877866782,0.23088102116080186,-0.04818548224011168,0.3608708828243691,-0.03044366812235791,0.3153128780618276
10,0.15014080272495423,0.1607547581266433,0.2383749350650558,0.05270986081953365,0.2475717446303748,0.06807526962794748,0.25343424662533914,-0.040298716564989734,0.3405803220148982,-0.020397521555337,0.34190703780862364
11,0.21605780636422423,0.16964640393872232,0.2629920355418858,0.11865291055230283,0.31346270217614564,0.07559004742377123,0.2637027604536734,0.025669197036027103,0.40644641569242135,-0.01419711610297747,0.3534899239804221
12,0.17499252749448202,0.19895073098981478,0.2970517597740311,0.08116613010304541,0.26881892488591863,0.10384478819026273,0.29405667378936684,-0.008401512083599294,0.35838656707256333,0.01305567882101355,0.384845783158616
13,0.14728462157433742,0.21153116580402054,0.31812131697849466,0.04122945441668538,0.2533397887319895,0.11404323907439841,0.3090190925336427,-0.060011896931291886,0.3545811400799667,0.020980263391676912,0.40208206821636416
14,0.12452944023156642,0.23016998631937172,0.33346979149600314,0.026823370128874507,0.22223551033425834,0.12864798203566194,0.3316919906030815,-0.06644784745727411,0.31550672792040696,0.03173403450532397,0.42860593813341946
15,0.16397668853331837,0.23435846663161458,0.3430110722155746,0.06523113648866316,0.26272224057797355,0.12962596977145543,0.3390909634917737,-0.02903238123077123,0.356985758297408,0.029647253068209395,0.4390696801950198
16,0.14166183312392966,0.2511717480166108,0.35165765684487044,0.029112690260086616,0.2542109759877727,0.14247499900081126,0.3598684970324103,-0.0783278769652122,0.3616515432130715,0.0387119664921452,0.4636315295410764
17,0.19049012535690568,0.2913890285298564,0.39853448182860596,0.06264307586112708,0.3183371748526843,0.1809082402924419,0.40186981676727085,-0.05940103008576997,0.44038128079958133,0.07544214562759066,0.5073359114321221
18,0.3052988247631202,0.30406909415049094,0.42294137211387817,0.1675490159480223,0.4430486335782181,0.18855238767675125,0.4195858006242306,0.03605163429159447,0.574546015234646,0.07827895376396315,0.5298592345370188
19,0.230090612578985,0.3444694997427273,0.45184039510062635,0.08121282685528394,0.378968398302686,0.22649995888138857,0.462439040604066,-0.060907435799684495,0.5210886609576545,0.1138850240810089,0.5750539754044457
20,0.25409179410317295,0.3728920476040512,0.4916227174780691,0.10541927677153629,0.4027643114348096,0.25086035213696867,0.49492374307113374,-0.03650503456904941,0.5446886227753953,0.1343676428472181,0.6114164523608843
21,0.20717266454615058,0.3986970601997938,0.5134522571220562,0.06060453409390906,0.35374079499839206,0.27074482451902515,0.5266492958805624,-0.07931090792763423,0.4936562370199354,0.14860030676007846,0.648793813639509
22,0.1406708200850142,0.4354674032567019,0.5354266011781648,-0.007924504509611324,0.28926614467963974,0.2995506205044023,0.5713841860090015,-0.14977512687097316,0.43111676704100155,0.16980306434566,0.7011317421677439
23,0.14424120531408557,0.4606540051675442,0.5581814360746222,-0.006559751907390665,0.2950421625355618,0.32044486692267,0.6008631434124183,-0.150515893817721,0.43899830444589216,0.18659978414470907,0.7347082261903792
24,0.1750042900367509,0.4774678144991537,0.5753707276100529,0.008282537423620256,0.3417260426498815,0.33031516076925865,0.6246204682290488,-0.15087175921301138,0.5008803392865131,0.189841726826058,0.7650939021722494
