h,beta,se,n
0,0.012307565065534392,0.012978558690969696,604
1,0.03655660712213334,0.020042595354648612,604
2,0.05897381221966736,0.026108955897787337,604
3,0.08942746999529953,0.03455952591544503,604
4,0.1031725435972928,0.04590314648282068,604
5,0.12647928787363347,0.056369343230769045,603
6,0.14156355780783236,0.06949647561535865,603
7,0.1585263194012147,0.08700852531082745,602
8,0.17450192190597386,0.09602845429728601,601
9,0.21621764024522105,0.10629856502345521,600
10,0.2383749350650558,0.11439296355208822,599
11,0.2629920355418858,0.12196157091885171,598
12,0.2970517597740311,0.1282864716297827,597
13,0.31812131697849466,0.13538631875966806,596
14,0.33346979149600314,0.1453153606796714,595
15,0.3430110722155746,0.15556877937351157,594
16,0.35165765684487044,0.16345530244456952,593
17,0.39853448182860596,0.1708253280999945,592
18,0.42294137211387817,0.18115256640871263,591
19,0.45184039510062635,0.18647784718282295,590
20,0.4916227174780691,0.19042958778500374,589
21,0.5134522571220562,0.19806933856416006,588
22,0.5354266011781648,0.20532596813063297,587
23,0.5581814360746222,0.21372249309135963,586
24,0.5753707276100529,0.22378988079813952,585
