h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.02771440970066713,0.04316751324866516,0.011677778109392054,0.013287483084796159,0.016036631591275077,0.7222654462096829,460
1,0.042605652524620674,0.04803525449527879,0.02807818216945018,0.023481357983825578,0.014527470355170494,0.7836778135638551,460
2,0.06895811114938566,0.06459965143096898,0.047835698807326826,0.03105644476577855,0.021122412342058833,0.7642380673070699,460
3,0.07509286754986566,0.07464154004881551,0.05480934310488719,0.03815663556807669,0.020283524444978468,0.8092177850744571,460
4,0.021686039216116892,0.0887073886110959,0.061007387009938775,0.04517161799902812,-0.03932134779382188,0.6908170146827568,460
5,0.13718324603292398,0.10009766980336812,0.07660015291022175,0.04997169782255228,0.06058309312270223,0.5868448688824899,459
6,0.13320384721282774,0.10894975968332647,0.08455861197963782,0.06091410105382065,0.04864523523318992,0.695892558225069,459
7,0.12183398605159379,0.12011953643410853,0.06893961806097992,0.06946841438294649,0.052894367990613866,0.6992205684123806,458
8,0.14490817727232286,0.13420127375868127,0.040515519703973574,0.0778717619000014,0.10439265756834928,0.49662808072742914,457
9,0.2601060625235241,0.13612435201908116,0.04011329582161374,0.08794441181665305,0.21999276670191034,0.16418388601532186,456
10,0.26660202993855053,0.11047517211691843,0.04687149573501259,0.09742846685288008,0.21973053420353794,0.1281385681963695,455
11,0.33159455531761894,0.10376293043673776,0.041368834025971496,0.10520965479745852,0.2902257212916475,0.04617567330159228,454
12,0.3688363590387249,0.11651120451874801,0.06088928011913049,0.11220680278321242,0.30794707891959444,0.05565010538554847,453
13,0.3643929582838832,0.13793647548046303,0.05663702507053772,0.1243033755554209,0.3077559332133455,0.10068535226919073,452
14,0.39028221575874045,0.14857592568506547,0.037700939481988494,0.133259391000363,0.35258127627675195,0.07937362478723761,451
15,0.4381299150509632,0.1604945221648381,0.02091052769001364,0.14476701576497086,0.41721938736094955,0.057324073619445165,450
16,0.4998421372269033,0.17096213336937377,0.004223829817054797,0.1609114226682071,0.49561830740984847,0.040691494560748144,449
17,0.5263532868724627,0.19105252730667618,0.00924962811241295,0.17245645134754256,0.5171036587600498,0.05149459433565528,448
18,0.5400548080861272,0.20442448277591652,-0.000726508287323846,0.182176137912632,0.540781316373451,0.05480802649497739,447
19,0.5015768576122352,0.2091429862586783,0.007414815858681173,0.19159261718542467,0.49416204175355405,0.09190995041538967,446
20,0.588120807038043,0.2411658630697739,-0.004761726021920237,0.19405963577160074,0.5928825330599633,0.06444418627069184,445
21,0.6063186746489464,0.23539108114799986,-0.01150154988230806,0.20361036800257504,0.6178202245312545,0.0558928991853997,444
22,0.6386846715986909,0.22826569745383646,-0.0059016159784202465,0.2114263903167987,0.6445862875771111,0.046117480401224716,443
23,0.6715131573368911,0.2780737115527156,-0.002273078386482774,0.216249646970215,0.6737862357233739,0.06051279193571005,442
24,0.7188084806134638,0.2737729132832903,0.007528215684860451,0.22450507829985117,0.7112802649286034,0.0468020510089944,441
