h,beta,se,n
0,0.007017069332447315,0.02518128690315228,604
1,0.016577289651531556,0.033184464070405616,604
2,0.03361793202527392,0.04350440006509437,604
3,0.059659868911990786,0.054748611134073845,604
4,0.0701489964529427,0.07331173325484568,604
5,0.06988005486084724,0.09719125098669676,603
6,0.07086515454210895,0.11579795706651878,603
7,0.09008335398836226,0.14334597240116825,602
8,0.0962608268256278,0.15722345695418868,601
9,0.1644496340868097,0.17612179170851472,600
10,0.1958742342662455,0.190481582921964,599
11,0.23229589879180076,0.20207276199460364,598
12,0.26648568096420444,0.21956766093656085,597
13,0.3002985110850263,0.22455684082754168,596
14,0.31902342838717634,0.24592681789840415,595
15,0.3217439148702898,0.25827770893342866,594
16,0.35539473192973353,0.26990615846223726,593
17,0.42634614842944624,0.27967320565955966,592
18,0.4661335891108578,0.28604326456793944,591
19,0.5185000806645697,0.2937692532790574,590
20,0.5701474327958808,0.292950162880215,589
21,0.6042619962843119,0.3012791208739664,588
22,0.6180164074451433,0.3067202139358124,587
23,0.6510938173944427,0.31478226617126015,586
24,0.6857419121170301,0.32446011208848846,585
