h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.06552887653865655,0.06370878689626638,-0.04002379906965137,0.04568300630654136,0.10555267560830792,0.2788036032323786,604
1,0.07011664506816057,0.0792552834129927,-0.022779019653822133,0.06441893198973381,0.0928956647219827,0.4640055525705422,604
2,0.0694014910818993,0.09654250212016122,-0.012670627615422286,0.08718606234693668,0.08207211869732159,0.6158759502472705,604
3,-0.011706136014855373,0.10536062954882869,0.06517764980431462,0.11434212001138984,-0.07688378581916999,0.6938710017866684,604
4,-0.09303136627106859,0.11228719782414005,0.12645421507941773,0.14526397062660973,-0.21948558135048632,0.3373485818044736,604
5,-0.13656158412221842,0.13785482873071872,0.12948564209768942,0.1829755732472969,-0.26604722621990784,0.35047463945418544,603
6,-0.14969894211168228,0.15154582408923045,0.10082420731080238,0.20621647707202573,-0.25052314942248466,0.4205887742228944,603
7,-0.16746377294371856,0.16627908755509768,0.10020888533719513,0.2435889610406611,-0.2676726582809137,0.44947547879505834,602
8,-0.17907417431848405,0.1679822644589291,0.06400895239534737,0.2657600733818655,-0.24308312671383142,0.5192030505469337,601
9,-0.10909016877081495,0.1933598188368913,0.08528997663966531,0.29079607553756304,-0.19438014541048027,0.6377043232974351,600
10,-0.17933311438370947,0.22192665533969794,0.15423034431437083,0.306164276477958,-0.3335634586980803,0.4578752629868845,599
11,-0.10197162611483479,0.23588379383469346,0.10535794606818782,0.315489769032931,-0.20732957218302261,0.6563769694108281,598
12,-0.17639008710198623,0.23872221373917196,0.17171343236710468,0.31514135185098824,-0.3481035194690909,0.4502504714984482,597
13,-0.1509548957377509,0.2542839895763852,0.15137513373304468,0.3182559255754163,-0.30233002947079557,0.5296294549425133,596
14,-0.16485558937991618,0.27120261736455153,0.14775113409774132,0.33379845782263456,-0.3126067234776575,0.5345978730325667,595
15,-0.28510908667522716,0.2917322905939389,0.21380726703322217,0.3455977395196767,-0.49891635370844933,0.3443879650848193,594
16,-0.3329189140419019,0.3108908784226883,0.28825265521373633,0.3558874419811312,-0.6211715692556382,0.2625072356132877,593
17,-0.2833782425305138,0.32439090344448757,0.3425417298526957,0.3651976571686063,-0.6259199723832095,0.27345904843745494,592
18,-0.14650531440722803,0.3376295895895282,0.28095925283491996,0.3734392831037152,-0.427464567242148,0.46751956229696723,591
19,-0.16423127067308052,0.33554387466152735,0.3659069927798406,0.37286334128341125,-0.5301382634529211,0.3687878061401597,590
20,-0.11597919618030628,0.34257163571250465,0.3859744042710118,0.3891679972527394,-0.5019536004513181,0.4171424041080116,589
21,-0.14453025135977926,0.369701477054965,0.43844487615904904,0.3986895926473094,-0.5829751275188283,0.37169073053588075,588
22,-0.26023640101506507,0.4118968168207017,0.5387399578477263,0.41683542119431166,-0.7989763588627914,0.26000869407171545,587
23,-0.31072719837158225,0.43973597472436937,0.5992967047475845,0.42487543368716246,-0.9100239031191667,0.22097061958752473,586
24,-0.2916314537010283,0.4643235021079976,0.6150246887394359,0.4349873378422154,-0.9066561424404642,0.24115662782110014,585
