h,hot_full,hot_ex2122,slack
0,0.0381700377362868,0.0790938479860712,-0.010970709219692364
1,0.07973249929173884,0.1307027871368649,-0.0031440166569351446
2,0.059097542700922184,0.0924823989188395,0.03627197649491076
3,0.05357703190314139,0.04981085772516641,0.07757596368397601
4,0.004960519212404424,0.012173886946823476,0.1195924916825935
5,0.04703552621229412,0.036919822655008205,0.10529250759731218
6,0.07444039234762129,0.10032387294702794,0.08743505876061039
7,0.0856016539481263,0.09362658491100409,0.08153323395637402
8,0.10268620010283591,0.09250833870842287,0.06272584516093027
9,0.13628715635728256,0.09135826058508473,0.08450700443643022
10,0.16075888309119268,0.113378641023206,0.0761164930767432
11,0.22912370682504224,0.16428100310354915,0.0353198007836637
12,0.21162521888334485,0.13318981267384505,0.0751221486154714
13,0.2342691852665651,0.2057527257497353,0.0547365785916909
14,0.22987287847570237,0.1906559655740115,0.057168834061174956
15,0.21522141579516324,0.12388691514633315,0.0685209298767614
16,0.22490672681035084,0.11991871987941,0.0573825044295459
17,0.2695825019111534,0.21385023100784073,0.07750326020677578
18,0.35953368098667116,0.3211911713958994,0.027711506885029102
19,0.32622811917446426,0.2698013012457822,0.0808895712361064
20,0.3718851841784335,0.29038837576054266,0.08371684946857738
21,0.37028813099727076,0.24250923606849417,0.09759731183129194
22,0.32550588659920854,0.15776900860673732,0.15408356516746768
23,0.3122408695362098,0.14298780101934755,0.17577686296879613
24,0.29997923204441146,0.0860525813956392,0.18989795521167174
