h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.015091199007267957,0.04718372763341203,0.008992241888587254,0.013817966239480802,0.006098957118680703,0.9009842337417536,604
1,0.03203428553900903,0.06358423115072714,0.033589071830314704,0.022722449775739503,-0.0015547862913056765,0.9815853601198766,604
2,-0.007060108081098193,0.08806941203211824,0.0582475200895492,0.030059489929879266,-0.06530762817064739,0.4786789265778615,604
3,0.006835301144986705,0.08371554928609304,0.08141121172953994,0.04002359124486837,-0.07457591058455323,0.4206578705132251,604
4,-0.05980456582045024,0.08411878067840578,0.09622637185657917,0.052815875986718386,-0.1560309376770294,0.11452812330107369,604
5,-0.021893982493636333,0.10150856379763859,0.10883829411185705,0.06425173139855604,-0.13073227660549339,0.27797630369313286,603
6,0.007770435256546859,0.11101273581745859,0.11210912416526092,0.07417763627573105,-0.10433868890871406,0.43629834491036557,603
7,0.0694410902488028,0.11640699965076454,0.11049335220987933,0.08962244746463452,-0.04105226196107653,0.7799789676724554,602
8,0.1152873888133838,0.13112449112384653,0.10898074513810777,0.09686064568357662,0.00630664367527603,0.9691075051175514,601
9,0.1563427002921287,0.12433324166093641,0.14243460496973484,0.10509317513197128,0.01390809532239387,0.9314972527083407,600
10,0.15014080272495423,0.11576870473552825,0.1607547581266433,0.1101229663720245,-0.01061395540168908,0.947618023428394,599
11,0.21605780636422423,0.11573775643051497,0.16964640393872232,0.11175897874875367,0.0464114024255019,0.774916233421591,598
12,0.17499252749448202,0.11148573834533818,0.19895073098981478,0.1130061107409126,-0.02395820349533276,0.8803093078486144,597
13,0.14728462157433742,0.12601612067211507,0.21153116580402054,0.11583641484033047,-0.06424654422968312,0.7151574899589781,596
14,0.12452944023156642,0.11609561561631644,0.23016998631937172,0.12062975794167036,-0.10564054608780529,0.5376615863521708,595
15,0.16397668853331837,0.11733074149792681,0.23435846663161458,0.12444450672547427,-0.07038177809829621,0.68609253291868,594
16,0.14166183312392966,0.13373234655874885,0.2511717480166108,0.12915488238569336,-0.10950991489268114,0.5664192668196619,593
17,0.19049012535690568,0.15190951698642896,0.2913890285298564,0.13127470085244117,-0.1008989031729507,0.6286944989611956,592
18,0.3052988247631202,0.16367610363010682,0.30406909415049094,0.13725844400396825,0.001229730612629265,0.9955841615612803,591
19,0.230090612578985,0.1768985096526866,0.3444694997427273,0.1401729335329595,-0.11437888716374228,0.6248791076370379,590
20,0.25409179410317295,0.1766546070955759,0.3728920476040512,0.1449996381500505,-0.11880025350087825,0.6181691159356126,589
21,0.20717266454615058,0.17415414740047708,0.3986970601997938,0.1520345005712555,-0.1915243956536432,0.4270597598220294,588
22,0.1406708200850142,0.1765628856875303,0.4354674032567019,0.16149807836537503,-0.2947965831716877,0.23205550509542872,587
23,0.14424120531408557,0.17918364688863622,0.4606540051675442,0.1665983106521794,-0.3164127998534586,0.21240855487167531,586
24,0.1750042900367509,0.19810094179316853,0.4774678144991537,0.1748486855155597,-0.3024635244624028,0.2681783830580243,585
