h,b0,se0,b1,se1,p_b1,n,b2,se2,p_b2,p_joint,beta_at_-1.50,se_at_-1.50,beta_at_-1.25,se_at_-1.25,beta_at_-1.00,se_at_-1.00,beta_at_-0.75,se_at_-0.75,beta_at_-0.50,se_at_-0.50,beta_at_-0.25,se_at_-0.25,beta_at_+0.00,se_at_+0.00,beta_at_+0.25,se_at_+0.25,beta_at_+0.50,se_at_+0.50,beta_at_+0.75,se_at_+0.75,beta_at_+1.00,se_at_+1.00,beta_at_+1.25,se_at_+1.25,beta_at_+1.50,se_at_+1.50,beta_at_+1.75,se_at_+1.75,beta_at_+2.00,se_at_+2.00
0,0.014483467305294033,0.009090907432072288,0.00575481169257268,0.006822909528934674,0.39897447067707703,460,0.004127140693494779,0.0037202723414568495,0.2672726658382283,0.09371385443450933,0.015137316326798263,0.011796424603523053,0.013738610023163775,0.008959433515242216,0.012855796306216132,0.0071721407277134785,0.012488875175955335,0.006632298959025464,0.012637846632381388,0.0071091240257502904,0.013302710675494288,0.008063420011771572,0.014483467305294033,0.009090907432072288,0.016180116521780627,0.00999673277495345,0.018392658324954066,0.010709992612548508,0.021121092714814358,0.011227865310615075,0.024365419691361488,0.011594300060379594,0.028125639254595478,0.01189537976675223,0.0324017514045163,0.012259156242492929,0.03719375614112398,0.012848775989647508,0.042501653464418504,0.013838811087571222
1,0.035545876593139014,0.012790267401007145,0.013940139443032877,0.010989524414331852,0.20462179792304536,460,0.001461349452423013,0.005041282855360278,0.7719107169326326,0.14677382526397403,0.01792370369654148,0.019449457720076176,0.020404060808758877,0.015016216317451835,0.02306708660252915,0.011854186544076177,0.0259127810778523,0.010287421828863049,0.02894114423472833,0.01030737486593601,0.032152176073157235,0.011356250862191776,0.035545876593139014,0.012790267401007145,0.039122245794673674,0.014216069427314524,0.04288128367776121,0.01545442490418548,0.046822990242401615,0.016448682508569113,0.05094736548859491,0.017215670839918557,0.05525440941634106,0.017827095423378753,0.05974412202564011,0.018404493433148254,0.06441650331649203,0.019115707488248018,0.06927155328889682,0.0201621783258022
2,0.058988222412125466,0.017934720238105682,0.01967846068893901,0.015281987181228565,0.19785392750519315,460,-0.004609165684702319,0.006293855101829733,0.4639684546313504,0.41828182327285546,0.019099908588136736,0.025504843782291602,0.02718832516860433,0.01962056950976223,0.03470059603848413,0.01548294177367265,0.04163672119777616,0.013600704876017023,0.04799670064648038,0.013952469110017365,0.053780534384596825,0.015698516384557805,0.058988222412125466,0.017934720238105682,0.06361976472906633,0.020133960026223054,0.06767516133541938,0.022054391854082755,0.07115441223118467,0.023605375404083195,0.07405751741636216,0.02477988436737108,0.07638447689095185,0.0256283110151673,0.07813529065495375,0.026251814424821367,0.07930995870836788,0.026803725503978165,0.07990848105119419,0.027490444795932257
3,0.05238051485080802,0.020736353653154894,0.02414514356187969,0.016922467625412746,0.15363471007521823,460,0.002346355663068846,0.007022720325922871,0.7382971372527137,0.03710754589063214,0.021442099749893386,0.0279271728268898,0.025865266122003478,0.021422558879974875,0.030581726951997172,0.016983864827487358,0.035591482239874475,0.015196874284318549,0.040894531985635384,0.015920763730647707,0.0464908761892799,0.018102960828504173,0.05238051485080802,0.020736353653154894,0.05856344797021974,0.023264647184999654,0.06503967554751508,0.025436562694021142,0.07180919758269402,0.0271570232954874,0.07887201407575656,0.028416646838243846,0.08622812502670271,0.029265243573490824,0.09387753043553246,0.029806099622537267,0.10182023030224582,0.03019984081098774,0.11005622462684278,0.0306697867410352
4,0.04804953487581043,0.023542257399384953,0.022533129509818492,0.018530956999880537,0.22399549255239803,460,0.004049478093612564,0.00788577331767475,0.6075897721744956,0.03621610281875699,0.02336116632171096,0.030692115069863364,0.026210432509806945,0.02354928382187654,0.0295658834596045,0.018802338960295286,0.03342751917110363,0.01707502710131865,0.03779533964430432,0.018087496499216017,0.04266934487920659,0.020607370806624708,0.04804953487581043,0.023542257399384953,0.05393590963411584,0.026303471170032223,0.060328469154122814,0.028624995396627013,0.06722721343583136,0.030404663421042685,0.07463214247924149,0.03163090963535022,0.08254325628435318,0.03235606843227465,0.09096055485116643,0.03269231934492135,0.09988403817968126,0.03281926405528583,0.10931370626989767,0.032994939067052774
5,0.051006434712018676,0.02449762500031215,0.021953677378935426,0.019197367311932403,0.25279889586721704,459,0.006933410416665731,0.009051646991099135,0.4436862400447812,0.06333155340408642,0.03367609208111343,0.03329353281023792,0.0343977917643896,0.025696193181185302,0.035986167749748985,0.020612880120671754,0.03844122003719158,0.01859973173187002,0.041762948626717394,0.01936115503205154,0.04595135351832643,0.021694867862114622,0.051006434712018676,0.02449762500031215,0.05692819220779414,0.027160250438210687,0.06371662600565282,0.029417869194427196,0.07137173610559472,0.031194827680244674,0.07989352250761983,0.03253102008137413,0.08928198521172817,0.033556094653592036,0.09953712421791971,0.03448451204268731,0.11065893952619446,0.03561306366195204,0.12264743113655245,0.03730323885486877
6,0.07394843074982449,0.02854887665421721,0.037980000321928525,0.02219539071080388,0.08705045341120217,459,-0.0024428716947893434,0.010343585951520722,0.8132987321552323,0.06228620570832567,0.011481968953655679,0.040728240212538465,0.022656443324305484,0.031718922875885916,0.03352555873310662,0.025530528925941265,0.04408931518005909,0.02276465776689667,0.05434771266516289,0.023187758480072606,0.06430075118841803,0.025543738281095157,0.07394843074982449,0.02854887665421721,0.08329075134938228,0.0314284466952815,0.09232771298709141,0.03380898263091577,0.10105931566295188,0.0355444343680997,0.10948555937696366,0.036624095871859344,0.1176064441291268,0.03713931827426087,0.12542196991944127,0.03728243151330922,0.13293213674790705,0.037361291426592384,0.14013694461452417,0.037810156453376334
7,0.06483628435212868,0.0321194034935185,0.03257156184684734,0.026516217081621926,0.2193104212274838,458,0.007397615743156741,0.012475477579262461,0.5531995234908182,0.04855335762542252,0.03262357700396033,0.04855839086358992,0.03568060664225191,0.03747299728332729,0.03966233824843808,0.029599465112492018,0.044568771822518845,0.025754242543594947,0.05039990736449419,0.025883002609438342,0.057155744874364145,0.028546664887408885,0.06483628435212868,0.0321194034935185,0.07344152579778782,0.035611531457281964,0.08297146921134153,0.03856290583454542,0.09342611459278985,0.04081184945080068,0.10480546194213276,0.04237335971528024,0.11710951125937026,0.043395446685213196,0.13033826254450237,0.04415394689154816,0.14449171579752904,0.04505869244054617,0.15956987101845033,0.04664188545852387
8,0.08608163826920422,0.037482691904031494,0.051636911796344095,0.03224623470124896,0.10930351288714779,457,0.0006137856401903369,0.014008016604038803,0.9650504822427226,0.06055987953696527,0.010007288265116338,0.055753186620636316,0.022494538586571494,0.04268387887189795,0.03505851211305046,0.033319602188210305,0.04769920884455321,0.028795067391017882,0.060416628781079756,0.029207543165900986,0.07321077192263009,0.03278190001836904,0.08608163826920422,0.037482691904031494,0.09902922782080215,0.042112390235099224,0.11205354057742384,0.04613055211134778,0.12515457653906936,0.04934513891760555,0.13833233570573866,0.05175771839151753,0.15158681807743174,0.05350554395839864,0.1649180236541486,0.05484836924892709,0.1783259524358893,0.05617129158704734,0.19181060442265374,0.057980185514362556
9,0.09751334013084834,0.04071625465405998,0.06020734188914036,0.03724385452187394,0.10597087689367797,456,0.00022004570952376817,0.015017899642281255,0.9883096307391777,0.0422475285181723,0.007697430143566273,0.06434715009632816,0.02259798419055377,0.04930929906401175,0.03752604395123174,0.03811475732069377,0.052481609425600186,0.03208474745778241,0.0674646806136591,0.03174164485380036,0.08247525751540849,0.035414940442977355,0.09751334013084834,0.04071625465405998,0.11257892845997866,0.04612793847756354,0.12767202250279944,0.050938694579944585,0.14279262225931075,0.05486767592412446,0.15794072772951248,0.05786036099690506,0.17311633891340467,0.060007284287051134,0.18831945581098736,0.06152080448438666,0.2035500784222605,0.06273723210995023,0.21880820674722415,0.06412335208760674
