h,beta,se,n
0,0.015607433397770213,0.013247594618882488,460
1,0.02637224826702367,0.021630787202795817,460
2,0.04597036320341419,0.02869331882200708,460
3,0.054671638467485115,0.035233361696655856,460
4,0.05872364716445377,0.041803613687821595,460
5,0.0875974093589557,0.0482747147284896,459
6,0.09468475768988377,0.058670815893279445,459
7,0.08119521200905513,0.06813248149848998,458
8,0.0638115949836125,0.07875710358075302,457
9,0.0771053381392548,0.09197335174094408,456
10,0.0823020983426846,0.1020491357159157,455
11,0.08944656254696033,0.11244009504647984,454
12,0.11606404179166521,0.1212024441528394,453
13,0.11847197838602835,0.13195021862786627,452
14,0.0915837656190797,0.13977733396163555,451
15,0.07670752549612408,0.15109433630163238,450
16,0.06828842251618086,0.16708438150687238,449
17,0.07757120262511885,0.1774232998341222,448
18,0.07010593171123225,0.18807454924933203,447
19,0.07679437231867023,0.19636364861546649,446
20,0.08372524603217527,0.20400302450026978,445
21,0.0832403027748723,0.21283406459863177,444
22,0.08403501607709951,0.21909988796262214,443
23,0.09638845007645344,0.2270776304011797,442
24,0.11106929195461562,0.2330925511624506,441
