months_after_shock,hot,slack,linear_no_state,hot_lower60,hot_upper60,slack_lower60,slack_upper60,hot_lower90,hot_upper90,slack_lower90,slack_upper90
0,0.03327193179848448,0.0013649503558952648,0.015607433397770213,0.0022224406738731058,0.06432142292309585,-0.015367051342461548,0.018096952054252078,-0.02741772231271527,0.09396158590968423,-0.03133959193711443,0.034069492648904964
1,0.07177066069931834,-0.00419746579403818,0.02637224826702367,0.03245428967377824,0.11108703172485844,-0.03335967226240867,0.024964740674332308,-0.005077521735345952,0.14861884313398263,-0.06119821394098382,0.05280328235290746
2,0.11004650448365161,3.345524766731889e-05,0.04597036320341419,0.05793780013731445,0.16215520882998877,-0.0343437847967205,0.034410695292055135,0.008194296012020624,0.2118987129552826,-0.0671606510653293,0.06722756156066394
3,0.1073808738665003,0.018827934187679515,0.054671638467485115,0.046850096806619,0.1679116509263816,-0.019361031707440052,0.05701690008279908,-0.010933204393367507,0.22569495212636811,-0.05581661060494368,0.09347247898030271
4,0.08620447519958224,0.04047405622414277,0.05872364716445377,0.012551353554510938,0.15985759684465356,-0.0032865669400380104,0.08423467938832355,-0.05775867250258304,0.23016762290174753,-0.04506090706611077,0.1260090195143963
5,0.1837423683583621,0.014209107162001827,0.0875974093589557,0.10091962530745306,0.26656511140927114,-0.03628589438275932,0.06470410870676298,0.021856184519548683,0.34562855219717553,-0.08448894124713802,0.11290715557114167
6,0.23128974225614052,-0.0033132388162128157,0.09468475768988377,0.142757627750159,0.31982185676212205,-0.06182105740690499,0.055194579774479356,0.058243962357923285,0.40433552215435775,-0.11767322168418884,0.11104674405176321
7,0.2225881111199467,-0.015547993841591862,0.08119521200905513,0.12784712242038532,0.3173290998195081,-0.080849735698804,0.04975374801562028,0.037406401981664256,0.40776982025822917,-0.14318744887380905,0.11209146119062532
8,0.25294899740300436,-0.07510997069465389,0.0638115949836125,0.14309097388185762,0.36280702092415107,-0.14902144249652416,-0.001198498892783617,0.03821937680855764,0.4676786179974511,-0.21957809226556238,0.0693581508762546
9,0.3295487422883594,-0.10482201611573994,0.0771053381392548,0.20668042828284783,0.45241705629387097,-0.19024156008082455,-0.01940247215065534,0.08938907434745336,0.5697084102292654,-0.27178393368057374,0.0621399014490939
10,0.3968934719016328,-0.14034360586239852,0.0823020983426846,0.2762495621257188,0.5175373816775468,-0.23104599800121353,-0.049641213723583516,0.16108164730398714,0.6327052964992785,-0.3176314327021688,0.03694422097737177
11,0.45684252631373135,-0.17357289839128887,0.08944656254696033,0.3251733900526538,0.5885116625748089,-0.27133446693846525,-0.07581132984411247,0.1994806808414492,0.7142043717860135,-0.36465866390947466,0.017512867126896925
12,0.49734249351660065,-0.16806139508692164,0.11606404179166521,0.3568185047841002,0.6378664822491011,-0.2721251209258976,-0.06399766924794571,0.2226728624983459,0.7720121245348555,-0.37146542194661203,0.03534263177276872
13,0.5323545137291887,-0.20504257911897017,0.11847197838602835,0.3896040637723125,0.675104963686065,-0.3207655958733404,-0.08931956236459994,0.2533330187445625,0.811376008713815,-0.43123597569803274,0.02115081746009237
14,0.5106318679259241,-0.2259334348893033,0.0915837656190797,0.35412622863900645,0.6671375072128417,-0.3574803869445821,-0.09438648283402445,0.20472433866382872,0.8165393971880195,-0.4830564578585686,0.031189588079962027
15,0.5357840467558681,-0.2653397212940363,0.07670752549612408,0.36684147520727256,0.7047266183044636,-0.4098462419884851,-0.12083320059958752,0.20556716201556435,0.8660009314961719,-0.5477936501704246,0.01711420758235188
16,0.610440239403998,-0.34060547984181866,0.06828842251618086,0.4205550435724884,0.8003254352355077,-0.5069292612192752,-0.17428169846436212,0.23928868623998512,0.981591792568011,-0.665703650428696,-0.015507309254941315
17,0.6608893433871053,-0.36530284319500905,0.07757120262511885,0.47079925600512507,0.8509794307690854,-0.5436292995920725,-0.18697638679794562,0.28933730709509314,1.0324413796791174,-0.7138615655965885,-0.016744120793429518
18,0.7034886596536205,-0.41746044109482305,0.07010593171123225,0.5114476671994754,0.8955296521077656,-0.6034022430221521,-0.23151863916749402,0.3281233642792519,1.0788539550279892,-0.780904196050213,-0.05401668613943306
19,0.7116746438164887,-0.41611059290051283,0.07679437231867023,0.5147498580665927,0.9085994295663847,-0.6181672351484673,-0.21405395065255844,0.3267634359284433,1.0965858517045342,-0.8110525801841214,-0.021168605616904257
20,0.7458924998006969,-0.44365964998364193,0.08372524603217527,0.5401418228270026,0.9516431767743913,-0.6512117217852866,-0.23610757818199718,0.34373011431860667,1.1480548852827872,-0.8493430602898511,-0.0379762396774328
21,0.7511958718240794,-0.46174296182835123,0.0832403027748723,0.5417354619832209,0.960656281664938,-0.6824840944125853,-0.24100182924411717,0.34178240439512,1.160609339253039,-0.8932058457412136,-0.030280077915488812
22,0.7649720612114852,-0.47614381908763836,0.08403501607709951,0.5507861353681532,0.9791579870548172,-0.70585069944939,-0.2464369387258867,0.34632205169118924,1.183622070731781,-0.9251312456502352,-0.02715639252504154
23,0.799644592910145,-0.49424707937543333,0.09638845007645344,0.5699283847497247,1.0293608010705653,-0.7338776782864751,-0.25461648046439156,0.3506389341365099,1.24865025168378,-0.962631508092952,-0.025862650657914654
24,0.8430612568186846,-0.5113040718754654,0.11106929195461562,0.5987758118085935,1.0873467018287757,-0.7622534907901894,-0.2603546529607414,0.3655784181285706,1.3205440955087986,-1.0018123823729952,-0.020795761377935706
