h,betaH,seH,betaL,seL,diff,wald_p,n
0,0.03327193179848448,0.03689340675452872,0.0013649503558952648,0.019881180725233857,0.031906981442589216,0.5353478564121588,460
1,0.07177066069931834,0.046716220325023886,-0.00419746579403818,0.03465091072762653,0.07596812649335652,0.2828069755219079,460
2,0.11004650448365161,0.06191623615296716,3.345524766731889e-05,0.04084748104133533,0.11001304923598429,0.2083016803336023,460
3,0.1073808738665003,0.07192345182970687,0.018827934187679515,0.04537662297423903,0.08855293967882079,0.35654473714201185,460
4,0.08620447519958224,0.08751559130830716,0.04047405622414277,0.051996938170366894,0.045730418975439474,0.691624353131937,460
5,0.1837423683583621,0.0984110540053577,0.014209107162001827,0.05999881362257741,0.16953326119636028,0.20756332310069547,459
6,0.23128974225614052,0.10519500297763966,-0.0033132388162128157,0.06951974642430153,0.23460298107235333,0.10635287735098059,459
7,0.2225881111199467,0.11257246756126592,-0.015547993841591862,0.07759237387976728,0.23813610496153856,0.12222776780704964,458
8,0.25294899740300436,0.1305347237656211,-0.07510997069465389,0.08782256630450365,0.3280589680976582,0.0665967436491778,457
9,0.3295487422883594,0.1459937191130128,-0.10482201611573994,0.10149660642239139,0.43437075840409933,0.03181376655831276,456
10,0.3968934719016328,0.14335065325084845,-0.14034360586239852,0.1077737549177935,0.5372370777640314,0.006935450183684357,455
11,0.45684252631373135,0.15645096989196483,-0.17357289839128887,0.11616155958552328,0.6304154247050202,0.00374456770404071,454
12,0.49734249351660065,0.1669724200718874,-0.16806139508692164,0.12364986435239535,0.6654038886035223,0.004801025994355262,453
13,0.5323545137291887,0.16961793008183967,-0.20504257911897017,0.13750358454654257,0.7373970928481589,0.003498355496503269,452
14,0.5106318679259241,0.18596202386753516,-0.2259334348893033,0.15630578903906706,0.7365653028152274,0.009859380949419435,451
15,0.5357840467558681,0.20073974756249469,-0.2653397212940363,0.17170451603427853,0.8011237680499044,0.009589885491519056,450
16,0.610440239403998,0.2256240444766036,-0.34060547984181866,0.19762806722606527,0.9510457192458167,0.00719144085973842,449
17,0.6608893433871053,0.22586749926566085,-0.36530284319500905,0.21188980085202402,1.0261921865821142,0.004880325086801096,448
18,0.7034886596536205,0.2281855898932332,-0.41746044109482305,0.22093845286041947,1.1209491007484436,0.002586228804040743,447
19,0.7116746438164887,0.23398857622373578,-0.41611059290051283,0.2400863144581207,1.1277852367170016,0.004477443284204927,446
20,0.7458924998006969,0.24447561427482692,-0.44365964998364193,0.24661605489739158,1.1895521497843389,0.0039883493315744254,445
21,0.7511958718240794,0.24888356682611518,-0.46174296182835123,0.2622874674242325,1.2129388336524307,0.0047129413511242495,444
22,0.7649720612114852,0.25449848603057507,-0.47614381908763836,0.2729406848404844,1.2411158802991236,0.0047895366787039225,443
23,0.799644592910145,0.2729517682514499,-0.49424707937543333,0.2847321755121694,1.2938916722855782,0.005406385485442907,442
24,0.8430612568186846,0.2902631238237775,-0.5113040718754654,0.2981813437674953,1.3543653286941502,0.005561809407042654,441
