h,hot_full,hot_ex2122,slack
0,0.03327193179848448,0.060709524975185766,0.0013649503558952648
1,0.07177066069931834,0.10052284639711019,-0.00419746579403818
2,0.11004650448365161,0.1299237882085443,3.345524766731889e-05
3,0.1073808738665003,0.07385697115893367,0.018827934187679515
4,0.08620447519958224,0.04295950746738375,0.04047405622414277
5,0.1837423683583621,0.10523154666219087,0.014209107162001827
6,0.23128974225614052,0.18664263333237907,-0.0033132388162128157
7,0.2225881111199467,0.12693346901573965,-0.015547993841591862
8,0.25294899740300436,0.1249000424209718,-0.07510997069465389
9,0.3295487422883594,0.14651363726812328,-0.10482201611573994
10,0.3968934719016328,0.23376749372910877,-0.14034360586239852
11,0.45684252631373135,0.26435094386888797,-0.17357289839128887
12,0.49734249351660065,0.2997014129739862,-0.16806139508692164
13,0.5323545137291887,0.39071033423209744,-0.20504257911897017
14,0.5106318679259241,0.35336690017074557,-0.2259334348893033
15,0.5357840467558681,0.3621688164583369,-0.2653397212940363
16,0.610440239403998,0.41901472067151846,-0.34060547984181866
17,0.6608893433871053,0.5147831140043645,-0.36530284319500905
18,0.7034886596536205,0.5723853446575842,-0.41746044109482305
19,0.7116746438164887,0.5902840279780321,-0.41611059290051283
20,0.7458924998006969,0.6272330398147172,-0.44365964998364193
21,0.7511958718240794,0.6192770217365422,-0.46174296182835123
22,0.7649720612114852,0.6280671710185223,-0.47614381908763836
23,0.799644592910145,0.6808802168535013,-0.49424707937543333
24,0.8430612568186846,0.711016749956161,-0.5113040718754654
